country,region,subregion,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio,projection_end_date
Brazil,,,52645,138129,102129,221509,2020-06-04,1473,0.9,2020-10-01
India,,,14476,113612,36658,249461,2020-06-16,2003,2.8,2020-10-01
Mexico,,,23377,101188,62459,137080,2020-06-03,1092,1.2,2020-10-01
United Kingdom,,,43011,47507,43972,50779,2020-04-21,1172,3.3,2020-10-01
Italy,,,34675,36979,35003,39197,2020-03-27,919,44.8,2020-10-01
France,,,29723,30764,29762,34958,2020-04-15,1438,15.7,2020-10-01
Spain,,,28325,29413,28384,32023,2020-06-19,1179,876.0,2020-10-01
Pakistan,,,3755,27569,10573,62728,2020-09-03,281,4.7,2020-10-01
Peru,,,8404,23202,15183,35297,2020-06-14,380,1.1,2020-10-01
Colombia,,,2524,21123,11127,29758,2020-09-01,240,2.4,2020-10-01
Russia,,,8349,20499,11947,36945,2020-05-29,232,1.1,2020-10-01
Iran,,,9863,18809,12070,27267,2020-04-04,158,1.2,2020-10-01
South Africa,,,2102,18159,8236,26945,2020-08-24,197,1.8,2020-10-01
Chile,,,4505,17159,12008,27974,2020-06-08,627,58.0,2020-10-01
Egypt,,,2365,12458,6808,20343,2020-09-01,121,1.4,2020-10-01
Canada,,,8512,11487,9060,18198,2020-04-16,251,9.3,2020-10-01
Germany,,,8914,10589,9043,14184,2020-04-15,510,16.1,2020-10-01
Belgium,,,9713,9962,9737,10551,2020-04-10,496,18.9,2020-10-01
Bangladesh,,,1545,9705,4560,17600,2020-08-20,93,2.2,2020-10-01
Saudi Arabia,,,1346,8985,5084,12293,2020-09-07,98,2.5,2020-10-01
Indonesia,,,2535,7955,3981,13841,2020-09-29,74,2.1,2020-10-01
Netherlands,,,6114,6633,6171,7639,2020-04-07,234,33.0,2020-10-01
Sweden,,,5161,6389,5477,8088,2020-04-21,185,2.3,2020-10-01
Turkey,,,5001,6131,5054,9911,2020-04-19,127,4.3,2020-10-01
Argentina,,,1078,6118,2348,12337,2020-09-15,66,1.9,2020-10-01
Ecuador,,,4274,6058,4665,10671,2020-05-10,410,1.7,2020-10-01
Bolivia,,,846,5874,2765,9716,2020-08-17,60,2.3,2020-10-01
China,,,4640,4650,4640,4705,2020-04-17,1290,133.0,2020-10-01
Ukraine,,,1045,3193,1685,5284,2020-06-17,31,1.0,2020-10-01
Poland,,,1375,3055,1799,4651,2020-04-24,40,1.2,2020-10-01
Romania,,,1539,2607,1784,3994,2020-05-08,35,1.4,2020-10-01
Nigeria,,,533,2535,912,5330,2020-06-16,31,2.9,2020-10-01
Philippines,,,1186,2375,1281,4337,2020-04-12,50,1.9,2020-10-01
Algeria,,,861,2189,1245,4548,2020-04-09,30,2.7,2020-10-01
Switzerland,,,1956,2053,1970,2327,2020-04-04,75,,2020-10-01
Portugal,,,1540,1881,1619,2491,2020-04-03,37,5.3,2020-10-01
Honduras,,,405,1867,931,3149,2020-06-22,32,1.7,2020-10-01
Ireland,,,1720,1816,1731,2187,2020-04-24,220,18.0,2020-10-01
Moldova,,,490,1635,1002,2372,2020-06-20,14,1.3,2020-10-01
Panama,,,536,1596,816,2828,2020-06-22,20,0.8,2020-10-01
Dominican Republic,,,675,1535,836,3880,2020-04-12,38,2.0,2020-10-01
Japan,,,965,1291,971,1868,2020-05-04,49,2.0,2020-10-01
Belarus,,,357,813,475,1806,2020-06-18,7,0.8,2020-10-01
Hungary,,,573,776,599,1168,2020-04-24,23,13.0,2020-10-01
Austria,,,693,747,707,896,2020-04-08,30,7.0,2020-10-01
Bulgaria,,,208,682,349,1117,2020-06-05,12,6.0,2020-10-01
Denmark,,,603,680,623,851,2020-04-04,22,16.0,2020-10-01
Kuwait,,,334,620,406,1040,2020-05-30,11,1.8,2020-10-01
United Arab Emirates,,,305,431,333,757,2020-05-10,13,3.5,2020-10-01
Czechia,,,339,428,349,556,2020-04-14,18,3.0,2020-10-01
Israel,,,308,390,324,617,2020-04-18,13,9.0,2020-10-01
Finland,,,327,368,332,470,2020-04-21,43,,2020-10-01
South Korea,,,281,340,284,536,2020-03-02,11,,2020-10-01
Serbia,,,263,334,281,467,2020-04-01,12,6.0,2020-10-01
Norway,,,248,272,255,315,2020-04-20,16,,2020-10-01
Malaysia,,,121,251,137,475,2020-03-29,8,,2020-10-01
Morocco,,,214,244,222,313,2020-03-27,12,,2020-10-01
Greece,,,190,224,203,282,2020-04-03,10,,2020-10-01
Croatia,,,107,131,114,170,2020-04-19,8,,2020-10-01
Luxembourg,,,110,120,112,141,2020-04-11,8,,2020-10-01
Slovenia,,,109,119,111,144,2020-04-07,6,,2020-10-01
Lithuania,,,77,114,87,171,2020-04-10,6,1.0,2020-10-01
Australia,,,103,112,103,150,2020-04-23,8,3.0,2020-10-01
Cuba,,,85,103,90,131,2020-04-24,6,,2020-10-01
Estonia,,,69,94,76,166,2020-04-02,6,,2020-10-01
Latvia,,,30,55,33,90,2020-04-21,4,,2020-10-01
Slovakia,,,28,36,28,70,2020-04-15,4,,2020-10-01
Cyprus,,,19,29,20,45,2020-03-30,2,,2020-10-01
Iceland,,,10,13,10,22,2020-03-15,5,,2020-10-01
Malta,,,9,11,10,12,2020-05-29,2,,2020-10-01
