country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
US,,1911,1353,2532
US,NY,504,373,641
US,NJ,230,166,302
US,MA,186,140,243
US,MI,118,87,151
US,CT,95,69,123
US,PA,87,61,116
US,IL,84,60,108
US,CA,78,50,110
US,LA,57,41,71
US,MD,53,37,73
US,FL,42,25,62
US,OH,34,25,44
US,IN,32,21,43
US,GA,31,21,42
US,CO,28,19,40
US,TX,24,16,32
US,VA,24,16,32
US,NC,18,13,24
US,MN,17,10,27
US,WA,14,8,22
US,RI,12,9,17
US,AZ,12,9,16
US,MO,11,8,15
US,MS,9,6,12
US,AL,9,6,11
US,DC,9,5,14
US,KY,8,5,11
US,WI,8,5,11
US,OK,7,5,10
US,NV,7,4,10
US,IA,6,5,8
US,DE,6,4,9
US,NM,6,4,9
US,SC,6,3,10
US,KS,5,3,8
US,TN,5,3,7
US,PR,3,2,6
US,NE,3,2,4
US,NH,3,1,5
US,OR,3,1,5
US,ID,2,1,4
US,AR,2,1,3
US,ME,2,1,3
US,UT,2,1,3
US,WV,2,1,3
US,SD,1,0,2
US,VT,1,0,2
US,HI,1,0,1
US,MP,1,0,1
US,MT,1,0,1
US,ND,1,0,1
US,WY,1,0,1
US,AK,0,0,1
US,GU,0,0,1
US,VI,0,0,1
US,AS,,,
