country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
France,,14412,36201,20946,62452,2020-04-07,1417,1.8
United Kingdom,,10629,33339,19023,64406,2020-04-10,981,1.2
Italy,,19899,32909,24668,46907,2020-03-27,919,1.9
Spain,,17209,27500,22156,35210,2020-04-02,961,1.5
Brazil,,1223,12296,5431,27907,2020-04-25,281,2.8
Iran,,4474,11180,7677,14634,2020-04-04,158,1.2
Belgium,,3600,10309,8296,14206,2020-04-10,496,1.5
Germany,,3022,8931,5248,16658,2020-04-08,333,0.8
Netherlands,,2747,5873,3975,10560,2020-04-07,234,1.6
Mexico,,273,4797,1584,12000,2020-04-27,121,3.0
Turkey,,1198,4757,2586,8426,2020-04-10,98,1.0
Sweden,,899,4571,2351,9340,2020-04-07,114,8.8
Canada,,712,3149,1504,5926,2020-04-11,97,1.3
India,,331,2995,1247,6741,2020-04-25,71,1.7
Switzerland,,1106,2556,1604,4290,2020-04-04,75,0.9
Portugal,,504,2201,1112,3508,2020-04-03,37,0.9
Romania,,316,2009,883,4696,2020-04-19,42,1.7
Ireland,,334,1614,721,3790,2020-04-19,37,2.6
Indonesia,,373,1299,656,2262,2020-04-12,46,0.5
Poland,,232,1253,516,3085,2020-04-18,30,1.2
Austria,,350,994,590,1873,2020-04-08,30,1.7
Philippines,,297,974,529,4580,2020-04-12,50,0.8
Russia,,130,837,388,1748,2020-04-12,24,0.8
Czechia,,138,829,388,1570,2020-04-09,13,1.2
Greece,,98,799,232,2094,2020-04-22,21,4.2
Denmark,,273,749,478,1378,2020-04-04,22,1.2
Bulgaria,,29,730,163,2025,2020-04-22,21,21.0
Hungary,,99,677,243,1750,2020-04-22,16,1.1
Norway,,128,383,205,757,2020-04-07,13,1.0
Finland,,56,372,136,923,2020-04-23,8,1.1
Croatia,,23,356,88,991,2020-04-23,9,4.5
Lithuania,,23,305,78,890,2020-04-23,8,
Luxembourg,,66,228,104,530,2020-04-11,8,1.2
Estonia,,25,211,65,556,2020-04-02,6,5.0
Slovenia,,53,157,78,368,2020-04-07,6,1.3
Cyprus,,11,113,25,346,2020-04-23,3,3.0
Latvia,,5,96,33,268,2020-04-29,2,1.0
Malta,,3,49,10,75,2020-05-11,1,
Slovakia,,2,35,2,87,2020-04-29,1,
