country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
France,,946,557,1245
United Kingdom,,877,660,1228
Spain,,510,392,860
Italy,,481,355,589
Belgium,,379,251,466
Germany,,229,175,271
Brazil,,159,135,171
Netherlands,,121,91,154
Iran,,114,95,133
Sweden,,97,79,120
Turkey,,93,74,113
Canada,,73,57,92
Switzerland,,51,39,65
Mexico,,43,39,53
India,,40,36,41
Romania,,36,24,46
Ireland,,33,24,40
Philippines,,32,18,99
Portugal,,30,25,36
Poland,,27,18,35
Indonesia,,23,18,29
Austria,,20,16,26
Russia,,16,13,18
Bulgaria,,16,9,20
Greece,,16,9,20
Denmark,,14,10,18
Hungary,,12,9,13
Czechia,,11,9,12
Norway,,9,6,11
Croatia,,7,4,9
Finland,,6,5,7
Lithuania,,6,3,7
Luxembourg,,5,3,7
Slovenia,,4,3,6
Estonia,,3,2,4
Cyprus,,2,1,3
Latvia,,1,1,1
Slovakia,,0,0,1
Malta,,0,0,0
