country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
France,,823,571,1159
United Kingdom,,791,617,1001
Spain,,516,398,689
Italy,,483,359,628
Belgium,,320,247,412
Germany,,225,170,286
Brazil,,221,180,273
Turkey,,173,142,188
Canada,,129,102,165
Netherlands,,129,96,164
Sweden,,100,75,136
Iran,,100,69,131
Mexico,,49,37,65
Ireland,,44,34,61
Switzerland,,44,33,56
India,,42,32,62
Portugal,,30,24,36
Russia,,30,21,42
Indonesia,,24,15,35
Romania,,21,16,26
Poland,,19,13,27
Austria,,16,11,22
Philippines,,14,7,23
Denmark,,12,9,16
Hungary,,12,8,17
Czechia,,8,7,10
Norway,,7,5,9
Finland,,5,4,7
Greece,,4,2,6
Slovenia,,3,2,5
Luxembourg,,3,2,4
Estonia,,2,2,3
Bulgaria,,2,1,4
Croatia,,2,1,3
Lithuania,,2,1,3
Slovakia,,1,1,2
Cyprus,,1,0,1
Latvia,,0,0,1
Malta,,0,0,0
