country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
US,,79523,188190,109777,332700,2020-04-16,4591,2.9
US,NY,26641,33844,29393,45950,2020-04-16,3215,25.3
US,NJ,9256,17327,11407,26335,2020-04-30,457,1.9
US,IL,3406,16917,7369,29334,2020-07-22,231,4.1
US,PA,3806,12958,6407,22052,2020-05-05,341,4.9
US,MA,4979,10218,6681,18035,2020-04-19,302,1.2
US,IN,1508,8021,3176,15099,2020-05-06,166,6.0
US,MI,4555,7576,5702,12122,2020-04-22,238,5.4
US,CA,2716,7272,3502,16002,2020-04-22,139,2.7
US,FL,1721,5683,2355,12049,2020-04-23,94,9.5
US,CT,2967,5450,3745,9270,2020-04-20,204,2.8
US,TX,1094,5282,2119,11542,2020-06-26,63,2.2
US,OH,1341,5050,2187,9670,2020-04-29,138,5.6
US,MD,1644,4607,2304,9433,2020-04-20,121,1.8
US,AZ,536,4206,1829,8403,2020-05-08,67,15.2
US,LA,2286,4035,2887,6409,2020-04-14,129,3.3
US,GA,1406,3921,1868,8321,2020-04-07,100,12.3
US,VA,839,3900,1364,9569,2020-05-07,56,4.4
US,MN,578,3427,1089,7445,2020-06-27,45,2.2
US,CO,971,2982,1355,6407,2020-04-24,122,7.2
US,MS,430,2697,1180,5329,2020-06-29,37,4.1
US,MO,503,2347,1046,4564,2020-04-27,47,3.1
US,IA,265,2323,1111,4218,2020-06-25,34,2.6
US,AL,393,1954,899,3839,2020-05-06,28,8.0
US,NC,564,1817,859,4241,2020-05-05,30,1.4
US,RI,422,1543,792,2731,2020-04-17,31,3.8
US,WA,931,1474,1093,2671,2020-04-06,45,2.2
US,SC,331,1416,641,2773,2020-04-29,39,16.0
US,DC,323,966,492,1651,2020-05-08,19,0.8
US,NM,200,915,356,1944,2020-05-03,13,1.2
US,NV,310,901,493,1780,2020-04-07,26,
US,DE,221,826,369,1574,2020-04-28,12,
US,KY,304,791,434,1630,2020-04-07,20,
US,WI,400,783,548,1291,2020-04-05,20,5.5
US,NH,133,691,340,1257,2020-05-07,22,4.5
US,OK,272,631,401,1118,2020-04-21,21,3.5
US,KS,174,436,229,1010,2020-04-11,13,
US,TN,243,424,328,615,2020-04-14,15,7.0
US,AR,91,389,187,864,2020-05-02,8,1.3
US,NE,90,365,177,767,2020-04-30,14,
US,UT,67,314,123,706,2020-05-05,6,4.0
US,OR,127,261,165,491,2020-04-09,11,
US,ND,35,229,102,467,2020-05-06,6,
US,SD,34,209,83,463,2020-05-06,5,
US,PR,111,204,147,324,2020-04-09,9,1.0
US,ME,64,152,107,253,2020-04-23,5,
US,WV,54,149,86,297,2020-04-20,6,1.0
US,ID,67,100,82,123,2020-04-15,6,
US,VT,53,82,69,99,2020-04-16,4,
US,HI,17,32,23,39,2020-04-27,2,
US,MT,16,26,21,36,2020-03-30,4,
US,WY,7,21,16,28,2020-04-22,4,
US,AK,10,15,14,17,2020-04-04,2,
US,GU,5,13,10,22,2020-04-11,1,
US,VI,4,10,9,11,2020-04-26,1,
US,MP,2,8,6,10,2020-04-07,1,
US,AS,0,,,,,,
