country,region,subregion,daily_deaths,daily_deaths_lower,daily_deaths_upper
US,,,903,645,1238
US,TX,,150.543196694,107,204
US,FL,,134.220623653,88,195
US,CA,,112.896152031,63,180
US,AZ,,71.4839833322,49,101
US,SC,,42.4427823736,28,62
US,GA,,41.9799912453,18,73
US,AL,,26.7323348936,17,39
US,LA,,25.0441151939,7,54
US,OH,,22.3518394167,7,45
US,NC,,21.6441734316,11,36
US,MS,,18.5834711613,7,31
US,TN,,17.8982642396,11,25
US,NY,,15.2058027946,0,63
US,IL,,14.7103978432,5,25
US,PA,,14.0970552595,3,32
US,IN,,13.1862656589,3,34
US,NV,,12.2759975813,7,19
US,NJ,,11.3523571356,2,20
US,MD,,10.2563692737,3,26
US,MO,,10.2121990452,2,20
US,MA,,9.29411509947,2,18
US,AR,,7.79368068103,4,12
US,VA,,7.44152714793,2,16
US,KY,,6.91670473135,2,15
US,WI,,6.68403311883,2,15
US,OK,,6.33761729775,2,12
US,CO,,6.21522344869,1,17
US,IA,,6.14687055236,1,14
US,MN,,5.58271261037,2,11
US,NM,,5.46800774111,1,11
US,UT,,5.37277783281,3,8
US,WA,,5.23925108603,1,13
US,OR,,5.06088668515,2,9
US,MI,,4.96779143282,0,12
US,ID,,4.59894994122,2,8
US,PR,,3.48989012969,1,7
US,KS,,3.10216279804,1,6
US,NE,,2.46606864787,0,5
US,CT,,2.36195530715,0,5
US,RI,,2.21595099905,0,4
US,MT,,1.65251313714,0,3
US,NH,,1.39055690124,0,4
US,SD,,1.09032026149,0,3
US,DE,,1.03595286491,0,3
US,ND,,0.942779591213,0,2
US,DC,,0.734811398858,0,2
US,WV,,0.713324131379,0,2
US,AK,,0.471587458194,0,1
US,ME,,0.336822336349,0,1
US,HI,,0.250765680726,0,1
US,WY,,0.226720228025,0,1
US,VT,,0.0744524710981,0,1
US,VI,,0.0418481870867,0,1
US,GU,,0.0171579344311,0,1
US,MP,,0.0091351676278,0,1
US,AS,,,,
