country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
Brazil,,585,419,780
United Kingdom,,454,253,679
Italy,,247,136,376
France,,219,81,468
Spain,,191,114,309
Mexico,,177,125,244
Canada,,159,109,210
India,,110,75,143
Germany,,110,61,172
Belgium,,92,49,161
Russia,,90,60,125
Sweden,,79,52,117
Netherlands,,65,35,103
Iran,,62,33,96
Turkey,,57,35,94
Ireland,,27,15,45
Romania,,24,18,31
Portugal,,18,11,25
Poland,,18,10,26
Indonesia,,18,9,28
Switzerland,,15,8,27
Philippines,,15,6,25
Hungary,,9,4,14
Austria,,6,3,11
Denmark,,6,3,10
Finland,,6,3,10
Czechia,,4,2,6
Bulgaria,,2,1,4
Norway,,2,1,4
Croatia,,2,1,3
Greece,,2,0,3
Estonia,,1,0,2
Luxembourg,,1,0,2
Slovenia,,1,0,2
Lithuania,,1,0,1
Cyprus,,0,0,1
Latvia,,0,0,1
Malta,,0,0,1
Slovakia,,0,0,1
