country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
Brazil,,10656,93757,26957,225741,2020-08-04,1281,2.0
United Kingdom,,31662,51792,36617,87420,2020-04-29,4421,2.4
Italy,,30395,40239,33722,53323,2020-03-27,919,4.0
France,,26313,32620,27415,49846,2020-04-15,1440,11.0
Spain,,26478,32352,28757,39850,2020-04-02,961,4.7
Mexico,,3353,17291,6602,29736,2020-05-07,257,0.9
Canada,,4823,16418,8234,28094,2020-04-16,251,1.3
Germany,,7549,13453,9003,24885,2020-04-15,510,5.5
India,,2101,11613,4904,24017,2020-05-04,175,1.0
Belgium,,8581,11034,9362,15639,2020-04-10,496,5.0
Iran,,6589,9082,7406,11844,2020-04-04,158,3.0
Netherlands,,5441,8477,6316,13370,2020-04-07,234,2.3
Sweden,,3220,8111,5329,17275,2020-04-21,185,1.9
Russia,,1827,7078,3743,14051,2020-04-29,105,0.9
Turkey,,3739,5383,4407,8582,2020-04-19,127,2.4
Romania,,939,3105,1938,5206,2020-05-08,35,1.8
Ireland,,1446,2606,1708,5564,2020-04-24,220,2.8
Poland,,785,2401,1083,5362,2020-04-24,40,2.4
Switzerland,,1830,2348,2006,3277,2020-04-04,75,8.0
Portugal,,1126,2099,1540,3149,2020-04-03,37,2.5
Indonesia,,959,1870,1170,3366,2020-04-14,60,1.5
Philippines,,704,1593,856,2716,2020-04-12,50,1.9
Hungary,,405,1023,515,2391,2020-04-24,23,1.0
Austria,,615,857,694,1162,2020-04-08,30,20.0
Denmark,,526,830,641,1233,2020-04-04,22,3.8
Finland,,265,780,342,1824,2020-04-21,43,1.6
Czechia,,276,422,364,516,2020-04-14,18,3.0
Bulgaria,,90,342,163,702,2020-04-29,6,1.0
Norway,,219,308,260,412,2020-04-20,16,7.0
Croatia,,87,263,139,521,2020-04-19,8,2.0
Greece,,151,222,182,293,2020-04-03,10,4.0
Luxembourg,,101,145,119,185,2020-04-11,8,3.0
Slovenia,,101,144,116,194,2020-04-07,6,3.0
Estonia,,60,106,89,124,2020-04-02,6,0.5
Lithuania,,49,81,64,98,2020-04-10,6,
Slovakia,,26,43,32,62,2020-04-15,4,
Latvia,,18,41,34,48,2020-04-21,4,
Cyprus,,15,23,19,28,2020-03-30,2,
Malta,,5,11,10,12,2020-05-05,1,
