date,Province_State,Confirmed,Deaths,daily_deaths,daily_confirmed,daily_tests,net_hosp,daily_tests_7day_ma,pos_rate_7day_ma,net_hosp_7day_ma,daily_confirmed_7day_ma,daily_deaths_7day_ma,prevalence_ratio_7day_ma,cur_implied_cfr_as_of_2020-08-10,total_implied_cfr_as_of_2020-08-10,cur_implied_ifr_as_of_2020-07-27,total_implied_ifr_as_of_2020-07-27,total_infections_as_of_2020-08-10,perc_infected_as_of_2020-08-10,population
2020-08-24,US,5739724,177252,450.0,38045.0,691643.0,-372.0,690447.1428571426,0.06119388470825327,-689.7142857142858,43057.0,965.0,6.457983638838448,0.0177361760226855,0.03479350557347393,0.002600054847934552,0.0048950692229171545,40749684,0.12280855997848006,331814684
2020-08-24,California,675561,12235,82.0,6281.0,111456.0,-47.0,102672.42857142855,0.056468073916074286,-102.0,6592.285714285716,134.14285714285714,6.302081919490298,0.01636458696409899,0.021307684001908724,0.002578778156865062,0.0033755084221412115,4350010,0.11009276112347792,39512223
2020-08-24,Florida,602829,10397,72.0,2258.0,18523.0,66.0,27754.285714285717,0.1376106650195594,-140.71428571428572,3819.285714285714,122.57142857142857,8.435345840387669,0.019034097211438207,0.019362744641583437,0.002080554693933539,0.0022630779792123306,5258830,0.2448502811580226,21477737
2020-08-24,Texas,598450,11749,50.0,4277.0,2847.0,-167.0,27815.42857142857,0.19225712348747867,-168.71428571428572,5334.285714285715,186.0,9.515541576585127,0.02458598485563759,0.02305619715020772,0.002527091345233147,0.0029001089125034385,4891861,0.16870881993217648,28995881
2020-08-24,New York,430145,32887,4.0,408.0,62031.0,10.0,79729.0,0.007577454340865395,-7.428571428571429,604.1428571428571,5.857142857142858,3.8927771936894793,0.009125306031604719,0.07805446510369446,0.0022550641630103346,0.007578831783169925,4374457,0.22486661352342383,19453561
2020-08-24,Georgia,256253,5156,24.0,2304.0,33297.0,-10.0,25394.857142857138,0.097837582412637,-39.42857142857143,2484.5714285714284,61.28571428571429,7.5046399568435564,0.01818567189487071,0.02354090666277058,0.0023336017237580815,0.0029912591792444444,2038943,0.1920374277906565,10617423
2020-08-24,Illinois,223206,8097,8.0,1612.0,36155.0,80.0,47882.714285714275,0.04183137965087312,-2.142857142857143,2003.0,18.571428571428573,5.7724353608014205,0.010675864334400919,0.04116525585297034,0.001864498421135672,0.0056393544558091604,1584219,0.12501899754285448,12671821
2020-08-24,Arizona,198414,4771,0.0,311.0,6353.0,-61.0,8404.857142857143,0.07493966074038821,-39.142857142857146,629.8571428571429,37.857142857142854,6.880017482789238,0.03301769249937702,0.025442348097823187,0.004039189991460559,0.002662155453309283,1884732,0.25893725969926285,7278717
2020-08-24,New Jersey,189719,15946,0.0,225.0,27814.0,35.0,23677.42857142857,0.011777340686126628,-3.7142857142857135,278.85714285714283,4.285714285714286,4.236375309559664,0.012412081092263135,0.08618015359588393,0.0027768701810741143,0.007674896163668459,2098986,0.23631391719811706,8882190
2020-08-24,North Carolina,156396,2535,4.0,1283.0,9223.0,50.0,21746.14285714286,0.07147408735867772,-4.571428571428571,1554.2857142857142,26.714285714285715,6.777542093752147,0.01882803060813532,0.018428188221952444,0.0028940075992582694,0.0028349637709697466,979574,0.0933987313422749,10488084
2020-08-24,Tennessee,144604,1588,21.0,667.0,14161.0,9.0,26892.285714285717,0.05237827098583769,-17.285714285714285,1408.571428571429,28.714285714285715,6.161807937668829,0.015137821961138725,0.012815339671062189,0.0021002239403319248,0.0019448702327617914,966269,0.14140837180602506,6833174
2020-08-24,Louisiana,143566,4764,18.0,623.0,8643.0,-2.0,14027.428571428569,0.051745559719732784,-41.0,725.8571428571429,34.0,6.1396240586428155,0.021412505623031937,0.03610157546547844,0.003149753156553261,0.004879013675765652,1058804,0.227758683770281,4648794
2020-08-24,Pennsylvania,134204,7557,0.0,525.0,9818.0,17.0,13645.571428571431,0.04847203174237586,-6.0,651.0,14.857142857142858,6.0226183622482035,0.01952318378073963,0.060835124495858185,0.0031920237272352377,0.007646000377895918,1051337,0.08212291475085035,12801989
2020-08-24,Massachusetts,126022,8949,28.0,662.0,37906.0,-7.0,18095.0,0.020597639442624247,-8.428571428571429,311.57142857142856,15.285714285714285,4.796300437075212,0.04025583145221972,0.07382262441945836,0.007967214977663213,0.008555214332964892,1068261,0.15371754913405766,6949503
2020-08-24,Alabama,116710,2024,11.0,1650.0,1650.0,56.0,10056.57142857143,0.10946644695721347,-21.714285714285715,1100.857142857143,14.142857142857142,7.793714236813946,0.009556907037358817,0.019646670549407882,0.001084267023743882,0.0023967648731246494,961289,0.19605397752736306,4903185
2020-08-24,Ohio,115651,3986,8.0,849.0,20311.0,25.0,22169.142857142862,0.04245927415197443,-18.714285714285715,941.2857142857144,22.0,5.796903726666197,0.019824922760041195,0.039181763670857454,0.0032415727453704865,0.005990223052715331,750369,0.06419382507506863,11689100
2020-08-24,Virginia,113623,2471,4.0,663.0,13093.0,-28.0,15791.142857142857,0.056170728618212734,-6.571428571428571,886.0,12.285714285714285,6.292058349532938,0.011252126128483579,0.024526298027771988,0.001657778106859292,0.0033898585428253597,814472,0.09542139147998055,8535519
2020-08-24,South Carolina,112551,2511,7.0,563.0,4141.0,-47.0,3275.714285714286,0.244134321849106,-17.428571428571427,799.7142857142858,31.857142857142854,10.405592096318347,0.027168615984405453,0.024822309433663835,0.0032266543019641445,0.00296721844132688,942029,0.18296392306746104,5148714
