date,Province_State,Confirmed,Deaths,daily_deaths,daily_confirmed,daily_tests,net_hosp,daily_tests_7day_ma,pos_rate_7day_ma,rt_estimate,net_hosp_7day_ma,daily_confirmed_7day_ma,daily_deaths_7day_ma,prevalence_ratio_7day_ma,true_inf_est_7day_ma,implied_ifr_7day_ma
2020-04-12,Iowa,1587,41,7.0,77.0,460.0,11.0,964.4285714285714,0.10650274033476521,1.0308150893018202,5.428571428571429,102.57142857142857,3.2857142857142856,7.721561215355029,3697.9229552018346,0.003129169728955858
2020-04-13,Iowa,1710,41,0.0,123.0,1104.0,13.0,1013.8571428571429,0.10765112019163026,1.1041464727037513,6.142857142857143,109.14285714285714,2.2857142857142856,7.74963682258662,3869.8775886595604,0.0030639581189569123
2020-04-14,Iowa,1899,49,8.0,189.0,189.0,21.0,881.0,0.13799254094373276,1.3262850162351143,8.428571428571429,121.85714285714286,3.4285714285714284,8.443575563715463,3935.7224406124574,0.0029764003663995155
2020-04-15,Iowa,1995,53,4.0,96.0,984.0,8.0,843.2857142857143,0.14399457902761306,1.3584394247888023,7.0,121.42857142857143,3.7142857142857144,8.57145882231519,4544.841501018601,0.0027346545365302412
2020-04-16,Iowa,2141,60,7.0,146.0,806.0,4.0,814.5714285714286,0.1527534198526833,1.4541112840120072,7.571428571428571,124.42857142857143,4.428571428571429,8.753389119692372,4759.255252132723,0.002611453004753616
2020-04-17,Iowa,2332,64,4.0,191.0,1117.0,8.0,834.1428571428571,0.16167151909573557,1.5180033733175395,8.285714285714286,134.85714285714286,4.714285714285714,8.933343523278413,5178.218840672134,0.0025656919289239227
2020-04-18,Iowa,2513,74,10.0,181.0,1155.0,10.0,830.7142857142857,0.17248495270851247,1.6022587819009333,10.714285714285714,143.28571428571428,5.714285714285714,9.145009247049938,5682.425278420544,0.002363176068424073
2020-04-19,Iowa,2902,75,1.0,389.0,1603.0,5.0,994.0,0.1889910893935039,1.369574674841056,9.857142857142858,187.85714285714286,4.857142857142857,9.455696865500752,5250.674397113985,0.0023398354871265845
2020-04-20,Iowa,3159,79,4.0,257.0,1270.0,16.0,1017.7142857142857,0.20339696799550816,1.4125321200911587,10.285714285714286,207.0,5.428571428571429,9.715928478501578,5306.661888438005,0.002261308568790719
2020-04-21,Iowa,3641,83,4.0,482.0,1795.0,0.0,1247.142857142857,0.19954180985108821,1.3063001145475372,7.285714285714286,248.85714285714286,4.857142857142857,9.647216473696496,4956.280694376035,0.0022482296362877725
