country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
France,,17188,42777,23515,91396,2020-04-15,1440,0.6
Italy,,21645,40216,27918,78801,2020-03-27,919,1.4
United Kingdom,,12894,35253,19333,83789,2020-04-10,981,1.1
Spain,,18708,30336,24230,47914,2020-04-02,961,1.3
Germany,,3804,18533,6677,38383,2020-04-15,510,0.5
Brazil,,1736,16164,5744,43267,2020-04-26,322,1.6
Belgium,,4440,15590,8464,30698,2020-04-10,496,1.5
Iran,,4777,9968,6265,13786,2020-04-04,158,1.5
Netherlands,,3145,8582,4551,18091,2020-04-07,234,0.8
Turkey,,1518,6626,2979,12131,2020-04-15,115,0.9
Sweden,,1203,6424,2670,16066,2020-04-15,170,0.7
Mexico,,406,5161,1634,14971,2020-04-28,108,1.5
Canada,,1007,5027,2054,10458,2020-04-14,120,0.9
India,,405,3408,1215,9663,2020-04-26,69,5.8
Switzerland,,1239,3191,1676,7389,2020-04-04,75,0.9
Portugal,,599,3095,1266,7275,2020-04-03,37,1.0
Ireland,,444,2130,892,5673,2020-04-14,41,1.0
Indonesia,,469,2069,785,4236,2020-04-14,60,3.6
Romania,,372,1843,898,4741,2020-04-09,28,1.2
Philippines,,349,1487,596,3555,2020-04-12,50,2.4
Poland,,286,1422,572,4120,2020-04-08,30,0.9
Russia,,198,1355,518,3216,2020-04-15,28,0.9
Austria,,393,1091,604,2636,2020-04-08,30,2.2
Hungary,,134,912,309,2838,2020-04-22,14,1.2
Denmark,,309,895,482,2236,2020-04-04,22,1.5
Czechia,,166,879,447,2047,2020-04-14,18,2.0
Finland,,72,557,185,1796,2020-04-23,8,1.0
Norway,,150,545,249,1551,2020-04-07,13,0.8
Greece,,102,423,185,1253,2020-04-03,10,6.0
Bulgaria,,36,357,118,1182,2020-04-19,5,5.0
Croatia,,33,308,111,954,2020-04-14,6,2.0
Lithuania,,30,305,108,953,2020-04-10,6,4.0
Estonia,,35,298,120,816,2020-04-02,6,0.8
Luxembourg,,69,255,119,662,2020-04-11,8,2.0
Slovenia,,61,246,108,745,2020-04-07,6,0.8
Latvia,,5,218,79,676,2020-07-30,3,
Slovakia,,6,200,57,585,2020-04-15,4,0.8
Cyprus,,12,148,51,453,2020-04-27,2,
Malta,,3,62,40,102,2020-07-06,1,
