date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-07-18,,,23,1,69,6296,2973,11068
2020-07-19,,,22,1,69,6318,2973,11137
2020-07-20,,,22,1,68,6340,2974,11205
2020-07-21,,,21,1,67,6361,2975,11272
2020-07-22,,,21,1,66,6383,2975,11338
2020-07-23,,,21,0,65,6403,2976,11403
2020-07-24,,,20,0,65,6424,2976,11468
2020-07-25,,,20,0,64,6444,2976,11532
2020-07-26,,,20,0,63,6463,2977,11595
2020-07-27,,,19,0,62,6483,2977,11657
2020-07-28,,,19,0,62,6502,2977,11719
2020-07-29,,,19,0,61,6520,2978,11780
2020-07-30,,,18,0,60,6539,2978,11840
2020-07-31,,,18,0,60,6557,2978,11900
2020-08-01,,,18,0,59,6575,2978,11959
2020-08-02,,,17,0,58,6592,2978,12017
2020-08-03,,,17,0,58,6609,2979,12074
2020-08-04,,,17,0,57,6626,2979,12131
