country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
France,,802,524,1128
United Kingdom,,764,535,1030
Italy,,486,332,695
Spain,,481,349,689
Belgium,,410,323,557
Germany,,256,188,344
Brazil,,214,171,259
Netherlands,,127,93,174
Sweden,,118,88,160
Iran,,101,65,132
Turkey,,99,77,123
Canada,,95,72,125
Mexico,,58,45,74
India,,50,37,86
Switzerland,,47,30,65
Ireland,,38,25,50
Indonesia,,33,18,46
Portugal,,30,23,38
Philippines,,28,15,42
Romania,,25,19,34
Russia,,22,15,32
Poland,,20,14,28
Austria,,16,11,23
Hungary,,13,8,18
Denmark,,12,8,16
Czechia,,9,7,11
Norway,,8,5,13
Finland,,7,5,10
Greece,,6,3,11
Bulgaria,,5,3,11
Croatia,,4,2,7
Slovenia,,4,2,7
Lithuania,,4,2,6
Luxembourg,,4,2,5
Estonia,,3,2,4
Cyprus,,2,1,3
Latvia,,2,1,2
Slovakia,,2,1,2
Malta,,0,0,0
