country,region,subregion,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio,projection_end_date
Brazil,,,128539,161686,141462,191786,2020-07-29,1595,1.0,2020-11-01
India,,,75062,131273,97705,183005,2020-06-16,2003,0.9,2020-11-01
Mexico,,,69049,90081,81667,102437,2020-06-03,1092,1.1,2020-11-01
United Kingdom,,,41683,42227,41695,45229,2020-04-21,1224,120.8,2020-11-01
Italy,,,35577,36147,35591,38722,2020-03-27,919,58.3,2020-11-01
Peru,,,30123,34516,31302,39958,2020-08-14,4143,1.7,2020-11-01
France,,,30805,32051,30833,38575,2020-04-15,1438,24.0,2020-11-01
Spain,,,29628,31771,29656,39500,2020-06-19,1179,24.1,2020-11-01
Colombia,,,22053,30893,25954,37862,2020-09-09,442,0.7,2020-11-01
Iran,,,22669,27274,23977,32672,2020-07-28,235,1.6,2020-11-01
Russia,,,18080,22410,18736,28452,2020-05-29,232,1.2,2020-11-01
Argentina,,,10658,19867,14925,26547,2020-08-24,381,0.8,2020-11-01
South Africa,,,15168,18923,15746,21343,2020-07-22,572,2.4,2020-11-01
Chile,,,11702,14450,12076,20847,2020-07-17,1057,9.0,2020-11-01
Indonesia,,,8336,12913,10219,18855,2020-07-22,139,0.9,2020-11-01
Ecuador,,,10701,11675,10770,13827,2020-09-07,3852,1.2,2020-11-01
Belgium,,,9917,10069,9933,10617,2020-04-10,496,61.8,2020-11-01
Germany,,,9342,9668,9356,10842,2020-04-15,510,40.9,2020-11-01
Canada,,,9204,9516,9229,10445,2020-04-16,251,183.5,2020-11-01
Bolivia,,,7146,9443,8105,11496,2020-09-07,1656,1.4,2020-11-01
Turkey,,,6837,8489,6993,11551,2020-04-19,127,1.9,2020-11-01
Philippines,,,3986,6770,4949,9414,2020-07-12,162,0.8,2020-11-01
Pakistan,,,6365,6676,6382,7441,2020-06-14,178,20.7,2020-11-01
Netherlands,,,6281,6443,6293,7029,2020-04-07,234,81.5,2020-11-01
Bangladesh,,,4593,6266,5124,8272,2020-06-30,64,1.0,2020-11-01
Egypt,,,5577,6141,5608,8170,2020-06-15,97,4.3,2020-11-01
Romania,,,4018,6051,4902,7907,2020-09-01,60,0.9,2020-11-01
Sweden,,,5842,5882,5846,6018,2020-04-14,115,27.8,2020-11-01
Ukraine,,,3034,5814,4134,8521,2020-11-01,66,1.4,2020-11-01
Saudi Arabia,,,4165,5326,4519,6652,2020-07-05,58,1.5,2020-11-01
China,,,4733,4801,4733,5342,2020-04-17,1290,,2020-11-01
Morocco,,,1453,3365,2114,5224,2020-11-01,46,1.8,2020-11-01
Dominican Republic,,,1914,2832,2254,3755,2020-09-05,39,0.8,2020-11-01
Honduras,,,2044,2787,2299,3644,2020-08-27,56,2.4,2020-11-01
Poland,,,2147,2767,2329,3555,2020-04-24,40,1.8,2020-11-01
Panama,,,2116,2517,2280,3005,2020-07-24,41,3.0,2020-11-01
Algeria,,,1581,2109,1675,3008,2020-04-09,30,1.2,2020-11-01
Switzerland,,,2019,2095,2031,2270,2020-04-04,75,58.3,2020-11-01
Japan,,,1412,2092,1587,3242,2020-05-01,29,1.4,2020-11-01
Portugal,,,1849,1991,1855,2349,2020-04-03,37,10.0,2020-11-01
Ireland,,,1781,1819,1787,1935,2020-04-24,220,17.4,2020-11-01
Israel,,,1054,1754,1287,2607,2020-08-19,73,1.1,2020-11-01
Moldova,,,1096,1542,1279,1976,2020-09-05,16,1.1,2020-11-01
Nigeria,,,1070,1263,1122,1529,2020-06-16,31,3.6,2020-11-01
Australia,,,788,1172,943,1487,2020-09-03,59,2.3,2020-11-01
Bulgaria,,,702,1161,893,1578,2020-08-24,18,1.0,2020-11-01
Belarus,,,726,999,817,1365,2020-08-16,7,1.2,2020-11-01
Serbia,,,728,870,781,1021,2020-07-10,18,7.8,2020-11-01
Austria,,,747,803,756,952,2020-04-08,30,,2020-11-01
Hungary,,,628,697,636,850,2020-04-24,23,6.8,2020-11-01
Kuwait,,,552,663,569,884,2020-05-30,11,1.8,2020-11-01
Denmark,,,628,662,635,755,2020-04-04,22,,2020-11-01
Czechia,,,444,570,476,752,2020-04-14,18,2.5,2020-11-01
Greece,,,293,478,366,699,2020-04-03,10,1.5,2020-11-01
United Arab Emirates,,,393,464,398,642,2020-05-10,13,3.5,2020-11-01
South Korea,,,346,454,352,686,2020-03-02,11,2.7,2020-11-01
Finland,,,337,354,340,406,2020-04-21,43,9.2,2020-11-01
Croatia,,,206,340,260,486,2020-04-19,8,1.2,2020-11-01
Norway,,,264,283,268,327,2020-04-20,16,,2020-11-01
Slovenia,,,135,153,138,189,2020-04-07,6,,2020-11-01
Cuba,,,104,148,116,219,2020-04-24,6,,2020-11-01
Luxembourg,,,124,141,129,166,2020-04-11,8,,2020-11-01
Malaysia,,,128,138,130,149,2020-03-29,8,,2020-11-01
Lithuania,,,86,96,88,112,2020-04-10,6,,2020-11-01
Estonia,,,64,69,67,75,2020-04-02,6,,2020-11-01
Slovakia,,,37,54,42,78,2020-09-03,4,,2020-11-01
Latvia,,,35,42,36,51,2020-04-21,4,,2020-11-01
Cyprus,,,22,31,26,42,2020-03-30,2,,2020-11-01
Malta,,,14,28,20,45,2020-08-30,2,,2020-11-01
Iceland,,,10,12,10,14,2020-03-15,5,,2020-11-01
