country,region,subregion,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio,projection_end_date
Brazil,,,81487,158317,117785,228985,2020-06-04,1473,0.8,2020-11-01
India,,,28732,128762,58941,202944,2020-06-16,2003,1.8,2020-11-01
Mexico,,,40400,84563,61894,134927,2020-06-03,1092,0.7,2020-11-01
United Kingdom,,,45507,46899,45600,49585,2020-04-21,1173,8.9,2020-11-01
Italy,,,35073,35564,35103,36393,2020-03-27,919,55.2,2020-11-01
France,,,30168,30648,30192,33069,2020-04-15,1438,-74.2,2020-11-01
Spain,,,28424,28768,28445,30156,2020-06-19,1179,431.3,2020-11-01
Iran,,,14634,27641,20657,37625,2020-07-21,229,0.9,2020-11-01
Peru,,,13579,24737,16060,40239,2020-07-21,392,0.5,2020-11-01
Colombia,,,7166,24319,16268,35094,2020-07-17,259,1.0,2020-11-01
Russia,,,12561,22394,14498,38027,2020-05-29,232,1.0,2020-11-01
South Africa,,,5368,17581,9663,24079,2020-07-16,216,0.8,2020-11-01
Indonesia,,,4320,17283,7904,34765,2020-08-21,148,1.8,2020-11-01
Chile,,,8677,12410,9465,20310,2020-07-17,1057,1.0,2020-11-01
Belgium,,,9805,9892,9821,10169,2020-04-10,496,,2020-11-01
Germany,,,9099,9700,9133,11700,2020-04-15,510,49.2,2020-11-01
Canada,,,8908,9632,8942,11418,2020-04-16,251,30.7,2020-11-01
Argentina,,,2490,9530,5353,15038,2020-07-21,117,0.7,2020-11-01
Ecuador,,,5366,8326,5995,12207,2020-05-10,410,1.6,2020-11-01
Pakistan,,,5677,8223,6438,11908,2020-06-14,178,2.7,2020-11-01
Egypt,,,4399,8048,5205,12853,2020-06-15,97,1.5,2020-11-01
Turkey,,,5526,7618,5766,11130,2020-04-19,127,5.9,2020-11-01
Netherlands,,,6155,6210,6165,6329,2020-04-07,234,,2020-11-01
Bolivia,,,2273,6098,4091,9422,2020-07-01,78,1.1,2020-11-01
Sweden,,,5646,6054,5764,6515,2020-04-21,185,13.3,2020-11-01
Philippines,,,1837,5653,2234,13356,2020-07-12,162,22.1,2020-11-01
Bangladesh,,,2709,5373,3202,10124,2020-06-30,64,1.0,2020-11-01
Saudi Arabia,,,2557,4932,3445,7352,2020-07-05,58,1.2,2020-11-01
China,,,4644,4664,4644,4795,2020-04-17,1290,,2020-11-01
Romania,,,2074,4147,3055,6161,2020-07-21,36,0.7,2020-11-01
Honduras,,,988,3828,2189,6709,2020-07-21,53,0.7,2020-11-01
Panama,,,1159,3678,2416,5730,2020-08-04,38,1.2,2020-11-01
Ukraine,,,1537,3116,2207,4968,2020-06-17,31,0.9,2020-11-01
Algeria,,,1100,2352,1291,4642,2020-04-09,30,1.0,2020-11-01
Dominican Republic,,,999,2276,1382,3956,2020-04-12,38,2.6,2020-11-01
Poland,,,1636,2155,1709,3143,2020-04-24,40,2.3,2020-11-01
Portugal,,,1697,2140,1757,2815,2020-04-03,37,4.9,2020-11-01
Switzerland,,,1972,2040,1984,2227,2020-04-04,75,62.2,2020-11-01
Ireland,,,1753,1824,1764,2046,2020-04-24,220,,2020-11-01
Serbia,,,491,1748,1106,2799,2020-07-10,18,1.6,2020-11-01
Nigeria,,,805,1618,939,3758,2020-06-16,31,2.5,2020-11-01
Japan,,,988,1570,1008,3669,2020-05-01,29,,2020-11-01
Israel,,,425,1519,768,2629,2020-04-18,13,1.2,2020-11-01
Moldova,,,707,1506,956,2251,2020-06-20,14,0.8,2020-11-01
Belarus,,,507,994,799,1413,2020-07-08,7,1.3,2020-11-01
Bulgaria,,,313,835,509,1470,2020-06-05,12,1.2,2020-11-01
Austria,,,710,775,727,892,2020-04-08,30,-20.3,2020-11-01
Morocco,,,280,760,368,1590,2020-03-27,12,1.3,2020-11-01
Australia,,,128,704,177,2102,2020-04-23,8,3.3,2020-11-01
Hungary,,,596,700,609,928,2020-04-24,23,,2020-11-01
Denmark,,,611,687,629,803,2020-04-04,22,,2020-11-01
Kuwait,,,412,612,436,1065,2020-05-30,11,1.8,2020-11-01
Czechia,,,360,470,393,633,2020-04-14,18,8.4,2020-11-01
United Arab Emirates,,,341,461,351,767,2020-05-10,13,6.7,2020-11-01
South Korea,,,297,416,302,749,2020-03-02,11,5.5,2020-11-01
Finland,,,328,380,340,468,2020-04-21,43,,2020-11-01
Norway,,,255,284,263,330,2020-04-20,16,,2020-11-01
Croatia,,,123,245,157,412,2020-04-19,8,2.4,2020-11-01
Greece,,,197,237,207,289,2020-04-03,10,2.1,2020-11-01
Malaysia,,,123,161,136,182,2020-03-29,8,,2020-11-01
Luxembourg,,,111,156,126,216,2020-04-11,8,,2020-11-01
Slovenia,,,114,135,118,171,2020-04-07,6,3.2,2020-11-01
Cuba,,,87,112,92,151,2020-04-24,6,,2020-11-01
Lithuania,,,80,103,84,134,2020-04-10,6,,2020-11-01
Estonia,,,69,89,77,122,2020-04-02,6,,2020-11-01
Latvia,,,31,41,33,60,2020-04-21,4,,2020-11-01
Slovakia,,,28,36,29,51,2020-04-15,4,,2020-11-01
Cyprus,,,19,28,22,42,2020-03-30,2,,2020-11-01
Malta,,,9,14,11,17,2020-05-29,2,,2020-11-01
Iceland,,,10,13,10,20,2020-03-15,5,,2020-11-01
