country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
US,,1855,1367,2459
US,NY,734,494,975
US,NJ,225,183,322
US,MI,123,104,152
US,MA,77,58,94
US,IL,69,57,84
US,LA,64,51,80
US,GA,61,51,74
US,PA,55,45,67
US,CT,53,41,68
US,CA,49,39,60
US,FL,38,28,47
US,IN,32,22,43
US,OH,24,19,29
US,TX,22,15,28
US,WA,21,9,52
US,CO,18,14,24
US,MD,17,10,21
US,VA,15,13,19
US,WI,12,10,15
US,TN,11,8,14
US,MO,10,8,14
US,NC,10,7,13
US,AL,9,8,12
US,AZ,9,7,11
US,NV,9,6,11
US,KY,8,6,11
US,OK,8,5,12
US,MS,8,4,11
US,SC,6,5,9
US,MN,6,5,8
US,RI,6,5,7
US,KS,5,3,8
US,OR,5,3,7
US,DC,4,3,5
US,PR,4,3,5
US,VT,3,2,5
US,DE,3,2,4
US,NH,3,2,4
US,AR,2,2,3
US,ID,2,2,3
US,ME,2,2,3
US,UT,2,1,4
US,IA,2,1,3
US,NE,2,1,3
US,NM,2,1,3
US,SD,1,1,2
US,WV,1,1,2
US,AK,1,0,2
US,GU,1,0,2
US,ND,1,0,1
US,HI,0,0,2
US,MP,0,0,1
US,MT,0,0,0
US,VI,0,0,0
US,AS,,,
US,WY,,,
