country,region,subregion,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio,projection_end_date
Brazil,,,105490,167872,123264,242568,2020-07-29,1595,39.8,2020-11-01
India,,,49036,124033,81753,176498,2020-06-16,2003,1.1,2020-11-01
Mexico,,,55908,100099,82988,138305,2020-06-03,1092,1.1,2020-11-01
United Kingdom,,,46791,49685,46928,57814,2020-04-21,1173,,2020-11-01
Peru,,,25856,38083,30700,50990,2020-08-14,4143,0.1,2020-11-01
Italy,,,35234,35947,35262,38482,2020-03-27,919,276.9,2020-11-01
Colombia,,,14492,31741,21787,47718,2020-07-29,380,1.0,2020-11-01
France,,,30410,31324,30446,35902,2020-04-15,1438,48.8,2020-11-01
Spain,,,28617,29962,28656,34909,2020-06-19,1179,71.2,2020-11-01
Iran,,,19331,27893,22469,38035,2020-07-28,235,1.2,2020-11-01
South Africa,,,11556,22936,15872,33146,2020-07-22,572,0.8,2020-11-01
Russia,,,15467,22056,17580,31506,2020-05-29,232,1.4,2020-11-01
Argentina,,,5527,19319,10168,32132,2020-08-11,240,1.3,2020-11-01
Chile,,,10340,15222,11035,25940,2020-07-17,1057,4.3,2020-11-01
Indonesia,,,6021,10892,7719,18125,2020-07-22,139,1.3,2020-11-01
Belgium,,,9924,10435,9961,12415,2020-04-10,496,39.2,2020-11-01
Germany,,,9230,10229,9323,13054,2020-04-15,510,18.5,2020-11-01
Canada,,,9068,9499,9104,10525,2020-04-16,251,37.4,2020-11-01
Ecuador,,,6030,7440,6184,10509,2020-05-10,410,4.3,2020-11-01
Turkey,,,5934,7413,5981,11244,2020-04-19,127,5.2,2020-11-01
Bolivia,,,3939,7200,5121,11208,2020-08-04,92,1.2,2020-11-01
Pakistan,,,6153,7064,6302,8285,2020-06-14,178,8.5,2020-11-01
Netherlands,,,6189,6565,6215,8027,2020-04-07,234,82.1,2020-11-01
Romania,,,2904,6496,4165,10716,2020-08-13,53,1.1,2020-11-01
Sweden,,,5783,5952,5815,6062,2020-04-21,185,14.7,2020-11-01
Egypt,,,5124,5910,5260,7118,2020-06-15,97,4.5,2020-11-01
Bangladesh,,,3591,5639,4107,9011,2020-06-30,64,1.2,2020-11-01
Philippines,,,2442,5380,3106,10607,2020-07-12,162,2.4,2020-11-01
Saudi Arabia,,,3338,4938,3895,7136,2020-07-05,58,1.1,2020-11-01
China,,,4701,4912,4701,6365,2020-04-17,1290,116.7,2020-11-01
Ukraine,,,2042,4614,2785,8757,2020-11-01,41,2.2,2020-11-01
Morocco,,,611,3359,1348,7409,2020-11-01,46,1.7,2020-11-01
Poland,,,1858,2976,2144,4633,2020-04-24,40,1.4,2020-11-01
Panama,,,1734,2838,2122,4126,2020-07-24,41,2.2,2020-11-01
Honduras,,,1548,2680,1900,4315,2020-07-30,53,4.0,2020-11-01
Dominican Republic,,,1409,2652,1814,4376,2020-04-12,38,1.2,2020-11-01
Algeria,,,1351,2228,1549,3804,2020-04-09,30,1.4,2020-11-01
Switzerland,,,1991,2083,2003,2449,2020-04-04,75,,2020-11-01
Portugal,,,1772,2056,1784,2675,2020-04-03,37,14.7,2020-11-01
Ireland,,,1774,1859,1785,2107,2020-04-24,220,,2020-11-01
Japan,,,1080,1770,1128,4222,2020-05-01,29,2.9,2020-11-01
Israel,,,665,1565,950,2968,2020-08-12,17,1.0,2020-11-01
Australia,,,379,1402,701,3005,2020-08-11,21,3.4,2020-11-01
Moldova,,,884,1370,1069,1953,2020-08-13,15,1.3,2020-11-01
Nigeria,,,973,1358,1051,2141,2020-06-16,31,1.4,2020-11-01
Bulgaria,,,492,1163,713,2214,2020-08-03,16,1.1,2020-11-01
Serbia,,,665,1048,811,1509,2020-07-10,18,2.0,2020-11-01
Austria,,,725,818,738,1057,2020-04-08,30,,2020-11-01
Belarus,,,603,802,720,989,2020-07-08,7,1.4,2020-11-01
Kuwait,,,494,762,534,1364,2020-05-30,11,1.4,2020-11-01
Denmark,,,621,721,641,984,2020-04-04,22,,2020-11-01
Hungary,,,607,696,615,912,2020-04-24,23,,2020-11-01
Czechia,,,394,538,421,834,2020-04-14,18,2.7,2020-11-01
United Arab Emirates,,,359,446,365,683,2020-05-10,13,7.4,2020-11-01
Greece,,,223,419,274,703,2020-04-03,10,2.0,2020-11-01
Finland,,,333,374,340,487,2020-04-21,43,,2020-11-01
South Korea,,,305,373,305,608,2020-03-02,11,,2020-11-01
Norway,,,261,308,269,422,2020-04-20,16,1.9,2020-11-01
Croatia,,,163,296,203,504,2020-04-19,8,1.2,2020-11-01
Slovenia,,,129,187,142,287,2020-04-07,6,,2020-11-01
Luxembourg,,,122,178,138,269,2020-04-11,8,,2020-11-01
Malaysia,,,125,141,129,158,2020-03-29,8,,2020-11-01
Cuba,,,88,129,95,221,2020-04-24,6,-1.7,2020-11-01
Lithuania,,,81,96,84,126,2020-04-10,6,,2020-11-01
Estonia,,,63,72,68,80,2020-04-02,6,,2020-11-01
Slovakia,,,31,47,33,87,2020-04-15,4,,2020-11-01
Latvia,,,32,39,33,52,2020-04-21,4,,2020-11-01
Cyprus,,,20,34,24,56,2020-03-30,2,,2020-11-01
Iceland,,,10,13,10,19,2020-03-15,5,,2020-11-01
Malta,,,9,12,10,15,2020-05-29,2,,2020-11-01
