date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-07-18,,,4,0,21,1842,809,4036
2020-07-19,,,4,0,20,1845,809,4056
2020-07-20,,,4,0,20,1849,809,4076
2020-07-21,,,4,0,20,1852,810,4096
2020-07-22,,,3,0,20,1856,810,4116
2020-07-23,,,3,0,20,1859,810,4136
2020-07-24,,,3,0,19,1863,810,4155
2020-07-25,,,3,0,19,1866,810,4174
2020-07-26,,,3,0,19,1869,810,4194
2020-07-27,,,3,0,19,1872,810,4212
2020-07-28,,,3,0,19,1875,810,4231
2020-07-29,,,3,0,18,1878,810,4249
2020-07-30,,,3,0,18,1881,810,4268
2020-07-31,,,3,0,18,1884,810,4286
2020-08-01,,,3,0,18,1887,810,4304
2020-08-02,,,3,0,18,1890,810,4321
2020-08-03,,,3,0,18,1892,810,4339
2020-08-04,,,3,0,17,1895,810,4356
