country,region,subregion,daily_deaths,daily_deaths_lower,daily_deaths_upper
Brazil,,,914,612,1195
Mexico,,,317,207,404
United Kingdom,,,290,153,478
India,,,143,91,190
Italy,,,137,74,201
Russia,,,127,77,181
Peru,,,116,72,157
France,,,104,30,261
Spain,,,95,41,158
Canada,,,94,53,145
Iran,,,61,28,116
Ecuador,,,58,31,95
Germany,,,51,23,89
Sweden,,,46,26,72
Belgium,,,38,15,69
Pakistan,,,36,21,48
Chile,,,34,26,46
Netherlands,,,33,16,58
Indonesia,,,30,17,46
Turkey,,,30,15,54
South Africa,,,22,17,29
Colombia,,,22,16,28
Bangladesh,,,20,13,28
Egypt,,,19,11,27
Romania,,,17,12,22
Ukraine,,,14,9,20
Poland,,,14,7,21
Saudi Arabia,,,11,8,14
Portugal,,,11,7,17
Argentina,,,11,7,15
Ireland,,,10,4,20
Philippines,,,8,3,13
Japan,,,8,1,18
Switzerland,,,7,2,13
Moldova,,,6,4,8
Nigeria,,,6,3,9
Hungary,,,5,2,8
Panama,,,5,2,7
Dominican Republic,,,4,2,7
Denmark,,,4,2,5
Algeria,,,4,1,8
Bulgaria,,,3,2,4
Austria,,,3,1,5
Finland,,,3,1,5
Czechia,,,2,1,4
Serbia,,,2,1,4
Croatia,,,1,0,2
Greece,,,1,0,2
Israel,,,1,0,2
Morocco,,,1,0,2
Norway,,,1,0,2
South Korea,,,1,0,2
Estonia,,,1,0,1
Lithuania,,,1,0,1
Luxembourg,,,1,0,1
Malaysia,,,1,0,1
Slovenia,,,1,0,1
China,,,0,0,2
Cyprus,,,0,0,1
Iceland,,,0,0,1
Latvia,,,0,0,1
Malta,,,0,0,1
Slovakia,,,0,0,1
