date,fips,county,state,total_cases,daily_positive_7day_ma,prevalence_ratio_mean,prevalence_ratio_lower,prevalence_ratio_upper,new_infected_mean,new_infected_lower,new_infected_upper,current_infected_mean,current_infected_lower,current_infected_upper,perc_current_infected_mean,perc_current_infected_lower,perc_current_infected_upper,total_infected_mean,total_infected_lower,total_infected_upper,perc_total_infected_mean,perc_total_infected_lower,perc_total_infected_upper
2020-01-22,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-01-23,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-01-24,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-01-25,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-01-26,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-01-27,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-01-28,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-01-29,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-01-30,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-01-31,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-02-01,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-02-02,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-02-03,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-02-04,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-02-05,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-02-06,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-02-07,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-02-08,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-02-09,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-02-10,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-02-11,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-02-12,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-02-13,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-02-14,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-02-15,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-02-16,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-02-17,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-02-18,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-02-19,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-02-20,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-02-21,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-02-22,12001,Alachua,FL,0,,,,,,,,,,,,,,,,,,,
2020-02-23,12001,Alachua,FL,0,,,,,2.28571,1.52381,3.42857,2.28571,1.52381,3.42857,8.49572e-06,5.66383e-06,1.27436e-05,2.28571,1.52381,3.42857,8.49572e-06,5.66383e-06,1.27436e-05
2020-02-24,12001,Alachua,FL,0,,,,,2.25,1.5,3.375,4.53571,3.02381,6.80357,1.68587e-05,1.12391e-05,2.5288e-05,4.53571,3.02381,6.80357,1.68587e-05,1.12391e-05,2.5288e-05
2020-02-25,12001,Alachua,FL,0,,,,,2.92857,1.95238,4.39286,7.46429,4.9762,11.1964,2.77438e-05,1.84959e-05,4.16158e-05,7.46429,4.9762,11.1964,2.77438e-05,1.84959e-05,4.16158e-05
2020-02-26,12001,Alachua,FL,0,,,,,2.71429,1.80952,4.07143,10.1786,6.78572,15.2679,3.78325e-05,2.52217e-05,5.67488e-05,10.1786,6.78572,15.2679,3.78325e-05,2.52217e-05,5.67488e-05
2020-02-27,12001,Alachua,FL,0,,,,,2.57143,1.71429,3.85714,12.75,8.5,19.125,4.73902e-05,3.15935e-05,7.10853e-05,12.75,8.5,19.125,4.73902e-05,3.15935e-05,7.10853e-05
2020-02-28,12001,Alachua,FL,0,,,,,2.46429,1.64286,3.69643,15.2143,10.1429,22.8214,5.65496e-05,3.76998e-05,8.48245e-05,15.2143,10.1429,22.8214,5.65496e-05,3.76998e-05,8.48245e-05
2020-02-29,12001,Alachua,FL,0,,,,,3.17347,2.11565,4.7602,18.3878,12.2585,27.5816,6.8345e-05,4.55634e-05,0.000102518,18.3878,12.2585,27.5816,6.8345e-05,4.55634e-05,0.000102518
2020-03-01,12001,Alachua,FL,0,,,,,4.37755,2.91837,6.56633,22.7653,15.1769,34.148,8.46159e-05,5.64106e-05,0.000126924,22.7653,15.1769,34.148,8.46159e-05,5.64106e-05,0.000126924
2020-03-02,12001,Alachua,FL,0,,,,,6.5102,4.34014,9.76531,29.2755,19.517,43.9133,0.000108813,7.25423e-05,0.00016322,29.2755,19.517,43.9133,0.000108813,7.25423e-05,0.00016322
2020-03-03,12001,Alachua,FL,0,,,,,8.94898,5.96599,13.4235,38.2245,25.483,57.3367,0.000142076,9.47172e-05,0.000213114,38.2245,25.483,57.3367,0.000142076,9.47172e-05,0.000213114
2020-03-04,12001,Alachua,FL,0,,,,,14.0408,9.36054,21.0612,52.2653,34.8435,78.398,0.000194264,0.000129509,0.000291396,52.2653,34.8435,78.398,0.000194264,0.000129509,0.000291396
2020-03-05,12001,Alachua,FL,0,,,,,21.0408,14.0272,31.5612,73.3061,48.8708,109.959,0.00027247,0.000181647,0.000408705,73.3061,48.8708,109.959,0.00027247,0.000181647,0.000408705
2020-03-06,12001,Alachua,FL,0,,,,,27.9082,18.6054,41.8622,101.214,67.4762,151.821,0.000376201,0.000250801,0.000564302,101.214,67.4762,151.821,0.000376201,0.000250801,0.000564302
2020-03-07,12001,Alachua,FL,0,,,,,33.2449,22.1633,49.8673,134.459,89.6395,201.689,0.000499768,0.000333179,0.000749653,134.459,89.6395,201.689,0.000499768,0.000333179,0.000749653
2020-03-08,12001,Alachua,FL,0,,,,,38.6939,25.7959,58.0408,173.153,115.435,259.73,0.000643589,0.000429059,0.000965383,173.153,115.435,259.73,0.000643589,0.000429059,0.000965383
2020-03-09,12001,Alachua,FL,0,,,,,42.8367,28.5578,64.2551,213.704,142.469,320.556,0.000794312,0.000529541,0.00119147,215.99,143.993,323.985,0.000802808,0.000535205,0.00120421
2020-03-10,12001,Alachua,FL,0,,,,,46.6429,31.0952,69.9643,258.097,172.065,387.145,0.000959315,0.000639543,0.00143897,262.633,175.088,393.949,0.000976174,0.000650782,0.00146426
2020-03-11,12001,Alachua,FL,1,0.142857,16,10.6667,24,47.6837,31.7891,71.5255,302.852,201.901,454.278,0.00112566,0.000750443,0.0016885,310.316,206.878,465.474,0.00115341,0.000768939,0.00173011
2020-03-12,12001,Alachua,FL,1,0.142857,15.5,10.3333,23.25,45.5408,30.3605,68.3112,345.679,230.452,518.518,0.00128485,0.000856563,0.00192727,355.857,237.238,533.786,0.00132268,0.000881785,0.00198402
2020-03-13,12001,Alachua,FL,2,0.285714,15,10,22.5,44.472,29.648,66.7079,387.579,258.386,581.369,0.00144058,0.00096039,0.00216088,400.329,266.886,600.494,0.00148797,0.000991983,0.00223196
2020-03-14,12001,Alachua,FL,1,0.142857,14.5,9.66667,21.75,45.1685,30.1124,67.7528,430.283,286.856,645.425,0.00159931,0.00106621,0.00239897,445.498,296.998,668.246,0.00165586,0.00110391,0.00248379
2020-03-15,12001,Alachua,FL,1,0.142857,14,9.33333,21,44.5564,29.7043,66.8347,471.666,314.444,707.5,0.00175313,0.00116875,0.00262969,490.054,326.703,735.081,0.00182147,0.00121431,0.00273221
2020-03-16,12001,Alachua,FL,1,0.142857,13.5,9,20.25,44.5885,29.7257,66.8827,511.877,341.252,767.816,0.00190259,0.00126839,0.00285388,534.643,356.428,801.964,0.0019872,0.0013248,0.0029808
2020-03-17,12001,Alachua,FL,4,0.571429,13,8.66667,19.5,45.2798,30.1865,67.9196,550.647,367.098,825.97,0.00204669,0.00136446,0.00307003,579.922,386.615,869.883,0.0021555,0.001437,0.00323325
2020-03-18,12001,Alachua,FL,7,0.857143,12.5,8.33333,18.75,45.8234,30.5489,68.735,587.521,391.681,881.282,0.00218374,0.00145583,0.00327562,625.746,417.164,938.618,0.00232582,0.00155055,0.00348873
2020-03-19,12001,Alachua,FL,11,1.42857,12,8,18,47.9531,31.9688,71.9297,621.434,414.289,932.15,0.00230979,0.00153986,0.00346469,673.699,449.133,1010.55,0.00250406,0.00166937,0.00375608
2020-03-20,12001,Alachua,FL,15,1.85714,11.5,7.66667,17.25,49.0675,32.7116,73.6012,649.46,432.974,974.19,0.00241396,0.00160931,0.00362095,722.766,481.844,1084.15,0.00268643,0.00179096,0.00402965
2020-03-21,12001,Alachua,FL,25,3.42857,11,7.33333,16.5,49.0652,32.7101,73.5978,670.617,447.078,1005.93,0.0024926,0.00166174,0.0037389,771.832,514.554,1157.75,0.0028688,0.00191254,0.0043032
2020-03-22,12001,Alachua,FL,35,4.85714,10.5,7,15.75,49.9319,33.2879,74.8979,687.304,458.203,1030.96,0.00255463,0.00170308,0.00383194,821.764,547.842,1232.65,0.00305439,0.00203626,0.00458159
