country,region,subregion,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio,projection_end_date
US,,,195912,219335,209985,232681,2020-04-15,2609,1.7,2020-11-01
US,NY,,33038,33317,33049,34939,2020-04-07,1273,124.5,2020-11-01
US,CA,,14594,17425,15666,19872,2020-08-14,278,0.9,2020-11-01
US,TX,,14593,17372,16018,19093,2020-07-27,685,1.4,2020-11-01
US,NJ,,16043,16233,16054,16884,2020-04-30,483,39.4,2020-11-01
US,FL,,12787,15019,13747,16674,2020-08-11,276,1.2,2020-11-01
US,MA,,9225,9591,9246,10306,2020-04-19,302,29.4,2020-11-01
US,IL,,8564,9320,8646,10350,2020-07-07,247,7.5,2020-11-01
US,PA,,7860,8339,7882,9328,2020-05-05,341,29.1,2020-11-01
US,GA,,6397,7617,6934,8616,2020-08-11,122,1.5,2020-11-01
US,MI,,6932,7372,6986,8019,2020-04-22,241,13.2,2020-11-01
US,LA,,5278,5827,5489,6394,2020-04-14,129,2.5,2020-11-01
US,AZ,,5344,5694,5456,6061,2020-07-30,172,3.6,2020-11-01
US,OH,,4506,5427,4732,6605,2020-08-29,147,0.6,2020-11-01
US,CT,,4485,4563,4496,4796,2020-04-20,204,,2020-11-01
US,MD,,3849,4104,3869,4569,2020-05-02,171,6.2,2020-11-01
US,NC,,3111,4052,3556,4882,2020-08-03,60,0.5,2020-11-01
US,IN,,3460,3888,3492,4642,2020-04-30,150,2.5,2020-11-01
US,SC,,3098,3760,3431,4243,2020-07-25,80,1.9,2020-11-01
US,VA,,2837,3551,3020,4356,2020-09-15,94,0.3,2020-11-01
US,MS,,2734,3175,2903,3591,2020-08-25,67,1.1,2020-11-01
US,AL,,2521,2979,2716,3399,2020-09-15,166,0.1,2020-11-01
US,TN,,2127,2962,2560,3587,2020-08-21,61,0.8,2020-11-01
US,WA,,2015,2303,2063,2723,2020-04-06,45,2.4,2020-11-01
US,MN,,1979,2296,2033,2732,2020-08-16,47,5.4,2020-11-01
US,MO,,1756,2281,1976,2771,2020-09-05,61,1.0,2020-11-01
US,CO,,1996,2136,2006,2521,2020-04-24,122,5.5,2020-11-01
US,NV,,1482,1691,1574,1850,2020-08-20,38,0.7,2020-11-01
US,IA,,1234,1592,1366,1947,2020-05-20,26,1.4,2020-11-01
US,AR,,1150,1572,1371,1857,2020-09-15,158,0.1,2020-11-01
US,WI,,1220,1540,1343,1865,2020-05-27,22,1.1,2020-11-01
US,KY,,1074,1434,1222,1751,2020-09-10,22,0.9,2020-11-01
US,OK,,912,1228,1061,1512,2020-04-21,21,1.2,2020-11-01
US,RI,,1078,1138,1085,1267,2020-04-17,31,6.7,2020-11-01
US,NM,,830,958,870,1093,2020-05-03,13,1.3,2020-11-01
US,PR,,551,875,712,1126,2020-09-09,18,0.8,2020-11-01
US,KS,,557,775,647,986,2020-09-15,15,0.4,2020-11-01
US,OR,,519,681,585,828,2020-07-28,14,0.5,2020-11-01
US,DE,,618,655,622,726,2020-06-23,69,9.5,2020-11-01
US,DC,,616,637,619,678,2020-05-08,19,,2020-11-01
US,ID,,423,578,502,685,2020-09-09,31,1.4,2020-11-01
US,NE,,436,551,470,682,2020-06-11,21,3.2,2020-11-01
US,UT,,436,549,484,639,2020-07-14,10,,2020-11-01
US,NH,,438,461,440,521,2020-05-07,22,4.1,2020-11-01
US,WV,,283,460,365,620,2020-08-29,14,0.8,2020-11-01
US,SD,,184,254,193,382,2020-09-12,6,,2020-11-01
US,ND,,172,247,205,313,2020-05-06,6,0.9,2020-11-01
US,MT,,140,241,191,325,2020-09-11,8,1.3,2020-11-01
US,HI,,100,170,134,224,2020-08-31,7,2.2,2020-11-01
US,ME,,137,152,140,174,2020-06-02,5,1.9,2020-11-01
US,GU,,28,72,51,106,2020-09-08,5,0.7,2020-11-01
US,AK,,44,68,55,88,2020-08-25,4,,2020-11-01
US,VT,,58,65,59,77,2020-04-16,4,,2020-11-01
US,WY,,42,57,49,70,2020-09-02,4,,2020-11-01
US,VI,,19,28,23,35,2020-08-26,2,,2020-11-01
US,MP,,2,3,2,4,2020-04-07,1,,2020-11-01
US,AS,,0,,,,,,,2020-11-01
