country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
Brazil,,593,417,801
United Kingdom,,434,237,668
Italy,,239,137,365
France,,207,74,455
Spain,,177,89,296
Mexico,,175,120,238
Canada,,161,109,205
India,,112,79,143
Germany,,102,51,168
Russia,,91,60,129
Belgium,,82,38,150
Sweden,,74,48,109
Netherlands,,62,32,101
Iran,,60,30,99
Turkey,,55,33,90
Romania,,24,18,30
Ireland,,24,12,42
Indonesia,,18,10,27
Poland,,17,9,26
Portugal,,17,9,24
Philippines,,15,6,25
Switzerland,,13,6,24
Hungary,,9,4,14
Austria,,6,3,10
Denmark,,6,3,10
Finland,,6,3,9
Czechia,,3,1,5
Bulgaria,,2,1,4
Norway,,2,1,4
Croatia,,2,1,3
Greece,,2,0,3
Estonia,,1,0,2
Luxembourg,,1,0,2
Slovenia,,1,0,2
Lithuania,,1,0,1
Cyprus,,0,0,1
Latvia,,0,0,1
Malta,,0,0,1
Slovakia,,0,0,1
