country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio,projection_end_date
US,,90344,195077,120563,336328,2020-04-16,4591,2.7,2020-08-04
US,NY,28339,33450,30134,41393,2020-04-16,3215,6.9,2020-08-04
US,IL,4234,17817,9263,28941,2020-07-25,252,4.4,2020-08-04
US,NJ,10439,16495,12180,23863,2020-04-30,457,3.6,2020-08-04
US,PA,4515,12066,6620,20414,2020-05-05,341,6.0,2020-08-04
US,MA,5862,10548,7215,17563,2020-04-19,302,2.6,2020-08-04
US,CA,3279,9732,4392,22852,2020-04-22,139,3.2,2020-08-04
US,TX,1350,6927,2858,14967,2020-07-09,89,12.7,2020-08-04
US,MI,4915,6687,5548,9182,2020-04-22,238,5.8,2020-08-04
US,OH,1657,6682,2882,14275,2020-04-29,138,2.6,2020-08-04
US,IN,1765,6584,2908,13761,2020-05-06,166,5.6,2020-08-04
US,MD,2023,5561,2756,10896,2020-04-20,121,1.8,2020-08-04
US,FL,1997,5424,2625,11444,2020-04-23,94,2.2,2020-08-04
US,CT,3450,5373,4036,8181,2020-04-20,204,2.3,2020-08-04
US,AZ,687,4625,2065,8832,2020-07-14,69,9.9,2020-08-04
US,GA,1649,4096,2208,7784,2020-04-07,100,0.9,2020-08-04
US,LA,2563,3913,3048,5739,2020-04-14,129,0.9,2020-08-04
US,CO,1224,3769,1930,7307,2020-04-24,122,4.3,2020-08-04
US,VA,1015,3458,1441,8587,2020-05-07,56,9.2,2020-08-04
US,MN,740,3374,1237,7530,2020-07-18,45,5.0,2020-08-04
US,MS,527,2772,1219,5246,2020-07-07,38,6.3,2020-08-04
US,IA,355,2705,1343,4700,2020-07-04,39,9.8,2020-08-04
US,AL,489,2555,1230,4738,2020-07-13,35,35.0,2020-08-04
US,MO,611,2495,1152,4837,2020-04-27,47,2.7,2020-08-04
US,NC,693,2185,1077,4652,2020-05-05,30,3.4,2020-08-04
US,SC,391,1741,704,3852,2020-04-29,39,3.8,2020-08-04
US,NM,270,1491,658,2923,2020-07-30,25,5.0,2020-08-04
US,WA,1002,1419,1128,2150,2020-04-06,45,22.0,2020-08-04
US,DE,297,1343,688,2395,2020-07-25,19,2.7,2020-08-04
US,RI,506,1281,773,2295,2020-04-17,31,1.9,2020-08-04
US,NH,172,1123,544,2042,2020-05-07,22,,2020-08-04
US,DC,392,957,563,1579,2020-05-08,19,1.1,2020-08-04
US,WI,459,907,628,1535,2020-04-05,20,1.8,2020-08-04
US,NV,358,823,514,1421,2020-04-07,26,1.0,2020-08-04
US,TN,301,675,446,1231,2020-05-12,15,2.0,2020-08-04
US,KY,346,671,441,1147,2020-04-07,20,0.7,2020-08-04
US,NE,123,602,285,1257,2020-04-30,14,,2020-08-04
US,OK,288,480,361,742,2020-04-21,21,,2020-08-04
US,KS,198,369,231,782,2020-04-11,13,1.7,2020-08-04
US,UT,80,306,137,665,2020-05-05,6,,2020-08-04
US,SD,44,233,98,497,2020-05-12,5,,2020-08-04
US,OR,138,217,164,337,2020-04-09,11,3.0,2020-08-04
US,ND,44,215,94,453,2020-05-06,6,3.0,2020-08-04
US,AR,100,209,156,336,2020-05-02,8,1.0,2020-08-04
US,PR,124,194,155,280,2020-04-09,9,3.0,2020-08-04
US,WV,68,137,95,252,2020-04-20,6,2.0,2020-08-04
US,ME,71,114,92,152,2020-04-23,5,2.0,2020-08-04
US,ID,74,99,85,115,2020-04-15,6,2.0,2020-08-04
US,VT,54,71,64,77,2020-04-16,4,,2020-08-04
US,HI,17,27,21,31,2020-04-27,2,,2020-08-04
US,MT,16,22,20,27,2020-03-30,4,,2020-08-04
US,WY,10,18,16,21,2020-04-22,4,,2020-08-04
US,AK,10,14,13,16,2020-04-04,2,,2020-08-04
US,VI,6,10,9,12,2020-05-12,1,,2020-08-04
US,GU,5,10,8,14,2020-04-11,1,,2020-08-04
US,MP,2,6,5,8,2020-04-07,1,,2020-08-04
US,AS,0,,,,,,,2020-08-04
