country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
Brazil,,670,475,878
United Kingdom,,407,243,630
Italy,,213,130,328
Mexico,,207,147,291
France,,190,88,407
Spain,,159,79,267
Canada,,151,102,193
India,,113,77,155
Russia,,101,66,134
Ecuador,,93,55,138
Peru,,89,55,122
Germany,,89,44,151
Sweden,,70,46,106
Belgium,,70,29,132
Netherlands,,54,26,90
Iran,,53,25,89
Turkey,,52,31,87
Pakistan,,30,19,39
Romania,,24,18,31
Ireland,,19,10,35
Poland,,18,10,27
Indonesia,,18,9,27
Colombia,,16,11,22
Philippines,,16,6,26
Japan,,16,6,25
Portugal,,15,9,23
Ukraine,,14,8,18
Egypt,,12,7,19
Switzerland,,12,5,22
Bangladesh,,10,6,15
Chile,,9,6,13
Saudi Arabia,,9,6,12
South Africa,,9,6,12
Nigeria,,8,5,12
Argentina,,8,4,13
Hungary,,8,3,12
Dominican Republic,,6,3,10
Finland,,6,3,9
Moldova,,6,3,8
Panama,,5,3,9
Austria,,5,2,9
Denmark,,5,2,8
Serbia,,4,2,6
Algeria,,4,1,8
Czechia,,3,1,5
Israel,,3,1,5
Bulgaria,,2,1,4
Croatia,,2,1,3
Norway,,2,0,3
Greece,,1,0,3
Estonia,,1,0,2
Luxembourg,,1,0,2
Malaysia,,1,0,2
Morocco,,1,0,2
Slovenia,,1,0,2
South Korea,,1,0,2
Lithuania,,1,0,1
Cyprus,,0,0,1
Iceland,,0,0,1
Latvia,,0,0,1
Malta,,0,0,1
Slovakia,,0,0,1
