country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
Brazil,,496,365,662
United Kingdom,,494,296,736
France,,324,149,653
Italy,,298,169,467
Spain,,229,123,381
Canada,,139,90,187
Germany,,136,79,204
Belgium,,114,69,193
Mexico,,109,77,144
Russia,,102,67,147
India,,84,61,104
Sweden,,79,49,121
Netherlands,,79,43,122
Turkey,,74,45,114
Iran,,68,38,106
Ireland,,35,20,55
Romania,,24,18,31
Portugal,,22,15,31
Switzerland,,20,11,34
Poland,,20,11,29
Indonesia,,18,10,28
Philippines,,13,5,22
Hungary,,9,5,14
Austria,,8,4,13
Denmark,,7,4,11
Finland,,7,4,11
Czechia,,4,2,6
Norway,,3,1,5
Croatia,,3,1,4
Bulgaria,,2,1,4
Greece,,2,1,3
Slovenia,,1,0,3
Estonia,,1,0,2
Lithuania,,1,0,2
Luxembourg,,1,0,2
Slovakia,,1,0,2
Latvia,,1,0,1
Cyprus,,0,0,1
Malta,,0,0,1
