country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
Brazil,,7367,66732,19510,190685,2020-08-04,732,2.3
United Kingdom,,28809,52840,34352,106319,2020-04-29,4421,2.8
Italy,,29079,42388,33087,64351,2020-03-27,919,4.0
France,,25204,37321,27524,78329,2020-04-15,1440,2.8
Spain,,25428,32688,27658,44993,2020-04-02,961,5.2
Germany,,6993,15511,8832,31984,2020-04-15,510,1.7
Canada,,4003,13134,6436,19485,2020-04-16,251,0.7
Belgium,,7924,10998,9009,17371,2020-04-10,496,3.8
Iran,,6277,9355,7269,12604,2020-04-04,158,1.9
Netherlands,,5098,9243,6158,16600,2020-04-07,234,5.7
Mexico,,2271,8193,4289,15288,2020-04-23,212,1.0
Russia,,1356,8153,3720,19062,2020-05-13,116,1.5
Sweden,,2769,7829,4398,20610,2020-04-21,185,1.0
India,,1566,7135,3416,14083,2020-05-04,175,0.5
Turkey,,3461,5746,4317,10953,2020-04-19,127,1.9
Romania,,818,3180,1751,6069,2020-04-25,34,1.0
Ireland,,1319,3042,1673,7585,2020-04-24,220,3.1
Poland,,698,2655,1023,5994,2020-04-24,40,1.3
Switzerland,,1784,2526,2028,3945,2020-04-04,75,2.6
Portugal,,1063,2473,1640,4075,2020-04-03,37,1.4
Indonesia,,864,1929,1090,3872,2020-04-14,60,1.3
Philippines,,623,1488,749,2728,2020-04-12,50,0.9
Austria,,600,945,709,1451,2020-04-08,30,10.0
Finland,,240,940,340,2189,2020-04-21,43,0.9
Hungary,,351,891,457,2207,2020-04-24,23,1.2
Denmark,,493,829,622,1263,2020-04-04,22,1.7
Czechia,,252,411,353,518,2020-04-14,18,2.2
Croatia,,80,375,164,824,2020-04-19,8,4.0
Norway,,214,357,264,587,2020-04-20,16,2.3
Bulgaria,,78,310,142,675,2020-04-29,6,0.6
Greece,,146,232,183,317,2020-04-03,10,2.0
Slovenia,,97,150,115,215,2020-04-07,6,3.0
Luxembourg,,96,147,116,192,2020-04-11,8,
Estonia,,55,108,88,126,2020-04-02,6,
Lithuania,,46,85,64,106,2020-04-10,6,
Slovakia,,25,50,33,83,2020-04-15,4,1.0
Latvia,,16,49,41,61,2020-04-21,4,
Cyprus,,15,26,20,31,2020-03-30,2,
Malta,,4,10,9,12,2020-04-25,1,
