country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
France,,899,596,1168
United Kingdom,,823,634,1066
Spain,,484,368,622
Italy,,469,361,578
Belgium,,380,320,456
Germany,,218,165,265
Brazil,,170,141,188
Iran,,112,94,131
Netherlands,,111,84,142
Sweden,,98,78,129
Turkey,,92,75,111
Canada,,72,58,93
Switzerland,,47,34,59
India,,43,38,45
Mexico,,39,35,42
Romania,,35,23,46
Ireland,,34,23,43
Portugal,,30,24,35
Philippines,,30,14,73
Poland,,28,17,38
Indonesia,,22,17,29
Austria,,19,15,24
Russia,,17,13,19
Bulgaria,,17,9,22
Greece,,17,9,22
Denmark,,13,10,17
Hungary,,12,9,15
Czechia,,9,8,11
Norway,,8,5,11
Croatia,,7,4,10
Finland,,6,4,8
Lithuania,,6,3,8
Luxembourg,,5,3,7
Slovenia,,4,2,6
Estonia,,4,2,5
Cyprus,,2,1,3
Latvia,,1,1,1
Malta,,0,0,1
Slovakia,,0,0,1
