country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
France,,14986,35063,21928,61441,2020-04-07,1417,1.8
Italy,,20465,33596,25371,46910,2020-03-27,919,1.4
United Kingdom,,11347,31383,18814,57680,2020-04-10,981,1.2
Spain,,17756,27647,22366,38247,2020-04-02,961,1.6
Brazil,,1328,12001,5276,28590,2020-04-25,273,2.6
Iran,,4585,11170,7778,14496,2020-04-04,158,1.3
Belgium,,3903,10245,8341,12884,2020-04-10,496,1.3
Germany,,3194,8577,5189,16271,2020-04-08,333,1.4
Netherlands,,2833,5523,3950,9768,2020-04-07,234,1.8
Turkey,,1296,4827,2671,8314,2020-04-13,98,1.0
Sweden,,919,4400,2238,9051,2020-04-07,114,5.2
Canada,,780,3087,1571,5709,2020-04-11,97,1.1
India,,358,2927,1238,6409,2020-04-25,70,2.6
Mexico,,296,2772,1211,6169,2020-04-25,65,2.8
Switzerland,,1138,2413,1574,4123,2020-04-04,75,1.9
Portugal,,535,2207,1192,3485,2020-04-03,37,1.0
Romania,,331,1926,822,4705,2020-04-21,40,2.7
Ireland,,365,1629,730,3781,2020-04-19,37,1.2
Indonesia,,399,1309,665,2260,2020-04-12,46,0.9
Poland,,245,1223,507,3063,2020-04-18,30,2.3
Austria,,368,956,589,1833,2020-04-08,30,1.2
Philippines,,315,946,493,2801,2020-04-12,50,2.3
Russia,,148,842,399,1748,2020-04-12,24,1.0
Greece,,99,795,224,2150,2020-04-22,21,21.0
Denmark,,285,729,480,1354,2020-04-04,22,1.3
Bulgaria,,32,729,157,2082,2020-04-22,21,7.0
Hungary,,109,641,244,1508,2020-04-22,15,1.5
Czechia,,143,631,371,1202,2020-04-09,13,2.0
Norway,,134,366,204,729,2020-04-07,13,1.5
Croatia,,25,357,86,1027,2020-04-23,9,4.5
Finland,,59,351,123,919,2020-04-23,8,2.7
Lithuania,,24,300,76,884,2020-04-23,8,8.0
Luxembourg,,69,217,104,518,2020-04-11,8,1.7
Estonia,,28,213,67,555,2020-04-02,6,1.7
Slovenia,,55,147,77,353,2020-04-07,6,2.0
Cyprus,,12,114,25,358,2020-04-23,3,3.0
Latvia,,5,95,32,267,2020-04-29,2,
Malta,,3,49,10,75,2020-05-11,1,
Slovakia,,2,37,2,87,2020-04-29,1,
