country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio,projection_end_date
Brazil,,16853,136958,40209,347593,2020-08-04,2516,3.4,2020-08-04
Mexico,,5332,67887,13280,161029,2020-08-02,1670,10.8,2020-08-04
United Kingdom,,34876,50070,38809,72712,2020-04-29,4421,5.1,2020-08-04
India,,3156,42361,7721,159131,2020-08-04,1025,7.8,2020-08-04
Italy,,32007,38877,34576,47955,2020-03-27,919,7.9,2020-08-04
France,,28242,34801,30335,49938,2020-04-15,1440,6.6,2020-08-04
Spain,,27709,31841,29039,38314,2020-04-02,961,5.8,2020-08-04
Russia,,2722,16758,4663,56396,2020-08-04,293,3.2,2020-08-04
Canada,,5960,14588,8607,27180,2020-04-16,251,2.8,2020-08-04
Iran,,7057,13296,8113,24147,2020-04-04,158,2.1,2020-08-04
Germany,,8003,10836,8672,16547,2020-04-15,510,5.6,2020-08-04
Peru,,2789,10408,4025,17954,2020-05-18,141,0.8,2020-08-04
Belgium,,9080,10388,9380,12747,2020-04-10,496,11.2,2020-08-04
Ukraine,,535,7842,2530,16810,2020-08-04,184,8.8,2020-08-04
Netherlands,,5713,7543,6218,10245,2020-04-07,234,10.9,2020-08-04
Ecuador,,2799,7516,3755,15672,2020-05-10,410,1.5,2020-08-04
Sweden,,3698,7331,5702,10518,2020-04-21,185,4.5,2020-08-04
South Africa,,286,6806,1960,16475,2020-08-04,175,8.0,2020-08-04
Turkey,,4171,5603,4694,8169,2020-04-19,127,3.8,2020-08-04
Chile,,478,5083,1814,10005,2020-08-04,107,3.8,2020-08-04
Colombia,,592,5050,1594,11784,2020-08-04,108,6.0,2020-08-04
Pakistan,,903,4667,1348,12497,2020-08-04,82,2.7,2020-08-04
China,,4638,4642,4638,4665,2020-04-17,1290,,2020-08-04
Egypt,,645,3559,1097,10964,2020-08-04,68,4.5,2020-08-04
Bangladesh,,349,3370,907,8422,2020-08-04,76,3.6,2020-08-04
Romania,,1120,2939,1890,5065,2020-05-08,35,1.9,2020-08-04
Saudi Arabia,,320,2592,927,6449,2020-08-04,54,6.8,2020-08-04
Indonesia,,1191,2572,1521,4971,2020-04-14,60,0.6,2020-08-04
Poland,,936,2475,1298,5076,2020-04-24,40,2.3,2020-08-04
Argentina,,382,2297,754,6558,2020-08-04,53,5.9,2020-08-04
Switzerland,,1886,2211,1981,2800,2020-04-04,75,12.0,2020-08-04
Philippines,,831,2010,1018,3864,2020-04-12,50,3.3,2020-08-04
Ireland,,1547,1950,1652,2848,2020-04-24,220,13.0,2020-08-04
Portugal,,1231,1844,1483,2652,2020-04-03,37,2.4,2020-08-04
Japan,,749,1804,890,3283,2020-05-04,49,3.6,2020-08-04
Moldova,,217,1367,532,3365,2020-07-31,22,3.7,2020-08-04
Hungary,,462,802,539,1547,2020-04-24,23,1.2,2020-08-04
Panama,,279,783,377,1876,2020-04-29,11,2.2,2020-08-04
Dominican Republic,,434,771,527,1374,2020-04-12,38,1.7,2020-08-04
Austria,,629,770,684,943,2020-04-08,30,,2020-08-04
Denmark,,548,738,630,971,2020-04-04,22,15.0,2020-08-04
Nigeria,,191,681,291,1775,2020-05-02,17,0.9,2020-08-04
Algeria,,555,665,585,888,2020-04-09,30,2.7,2020-08-04
Finland,,300,546,361,1001,2020-04-21,43,4.0,2020-08-04
Czechia,,297,396,355,447,2020-04-14,18,,2020-08-04
Serbia,,231,389,304,636,2020-04-30,54,5.0,2020-08-04
Bulgaria,,110,370,207,672,2020-04-29,6,2.0,2020-08-04
Israel,,276,363,312,476,2020-04-18,13,2.2,2020-08-04
South Korea,,263,324,284,411,2020-03-02,11,,2020-08-04
Norway,,233,280,250,326,2020-04-20,16,8.0,2020-08-04
Morocco,,192,224,207,251,2020-03-27,12,,2020-08-04
Greece,,165,217,191,260,2020-04-03,10,2.0,2020-08-04
Croatia,,95,179,122,291,2020-04-19,8,,2020-08-04
Malaysia,,113,146,128,164,2020-03-29,8,,2020-08-04
Luxembourg,,107,133,120,151,2020-04-11,8,,2020-08-04
Slovenia,,104,130,113,162,2020-04-07,6,,2020-08-04
Estonia,,64,92,82,103,2020-04-02,6,2.0,2020-08-04
Lithuania,,59,86,74,102,2020-04-10,6,0.3,2020-08-04
Slovakia,,28,38,31,47,2020-04-15,4,,2020-08-04
Latvia,,19,35,30,39,2020-04-21,4,,2020-08-04
Cyprus,,17,24,22,26,2020-03-30,2,,2020-08-04
Iceland,,10,13,12,14,2020-04-06,2,,2020-08-04
Malta,,6,9,8,10,2020-05-13,1,,2020-08-04
