country,region,subregion,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio,projection_end_date
Brazil,,,138105,159431,149106,176161,2020-07-29,1595,,2020-11-01
India,,,90020,134753,108353,160433,2020-06-16,2003,1.1,2020-11-01
Mexico,,,74949,89242,84406,97393,2020-06-03,1092,1.1,2020-11-01
United Kingdom,,,41951,43833,41992,50712,2020-04-21,1224,25.8,2020-11-01
Spain,,,31034,40539,33971,56482,2020-06-19,1179,5.2,2020-11-01
Italy,,,35758,36772,35774,40593,2020-03-27,919,40.4,2020-11-01
France,,,31447,34839,31504,49839,2020-04-15,1438,39.6,2020-11-01
Peru,,,31568,33899,32067,37115,2020-08-14,4143,1.3,2020-11-01
Iran,,,24840,30576,27517,35101,2020-07-28,235,1.0,2020-11-01
Colombia,,,24746,29746,27524,34123,2020-09-09,442,0.9,2020-11-01
Argentina,,,14376,25597,21143,34631,2020-09-22,470,0.7,2020-11-01
Russia,,,19720,24759,20634,32663,2020-05-29,232,1.1,2020-11-01
South Africa,,,16206,18033,16788,20481,2020-07-22,572,2.9,2020-11-01
Indonesia,,,9977,14970,12946,20098,2020-09-22,160,1.0,2020-11-01
Chile,,,12345,14291,12559,18761,2020-07-17,1057,7.7,2020-11-01
Ecuador,,,11171,12334,11269,14264,2020-09-07,3852,1.8,2020-11-01
Turkey,,,7711,10373,8153,14300,2020-04-19,127,1.3,2020-11-01
Belgium,,,9959,10233,9989,11032,2020-04-10,496,77.0,2020-11-01
Canada,,,9294,9769,9330,11257,2020-04-16,251,22.8,2020-11-01
Germany,,,9423,9719,9435,10856,2020-04-15,510,13.6,2020-11-01
Bolivia,,,7731,8770,8173,9424,2020-09-07,1656,2.0,2020-11-01
Philippines,,,5091,7510,6109,9665,2020-09-14,259,1.5,2020-11-01
Pakistan,,,6437,6749,6488,7255,2020-06-14,178,24.3,2020-11-01
Netherlands,,,6344,6647,6356,7439,2020-04-07,234,27.1,2020-11-01
Egypt,,,5822,6532,5905,8070,2020-06-15,97,4.6,2020-11-01
Ukraine,,,3784,6214,4866,8095,2020-09-16,78,1.1,2020-11-01
Romania,,,4550,6022,5227,7293,2020-09-01,60,0.9,2020-11-01
Bangladesh,,,5044,5996,5412,7073,2020-06-30,64,1.3,2020-11-01
Sweden,,,5876,5966,5882,6215,2020-04-14,115,17.8,2020-11-01
Saudi Arabia,,,4569,5277,4814,6055,2020-07-05,58,1.7,2020-11-01
China,,,4738,4789,4738,5205,2020-04-17,1290,111.8,2020-11-01
Morocco,,,1918,3359,2518,4643,2020-11-01,45,1.6,2020-11-01
Poland,,,2344,3068,2553,4051,2020-04-24,40,0.9,2020-11-01
Panama,,,2291,2854,2675,3209,2020-07-24,41,3.4,2020-11-01
Honduras,,,2222,2721,2368,3275,2020-08-27,56,1.5,2020-11-01
Dominican Republic,,,2074,2594,2275,3159,2020-09-05,39,1.9,2020-11-01
Switzerland,,,2060,2234,2096,2536,2020-04-04,75,9.5,2020-11-01
Portugal,,,1928,2214,1952,2677,2020-04-03,37,9.6,2020-11-01
Israel,,,1325,2157,1608,3106,2020-08-19,73,0.6,2020-11-01
Algeria,,,1698,1943,1750,2289,2020-04-09,30,1.3,2020-11-01
Ireland,,,1794,1856,1798,2038,2020-04-24,220,25.9,2020-11-01
Japan,,,1525,1805,1601,2145,2020-05-01,29,3.4,2020-11-01
Moldova,,,1244,1660,1405,2030,2020-09-22,19,0.8,2020-11-01
Nigeria,,,1102,1219,1131,1395,2020-06-16,31,5.6,2020-11-01
Czechia,,,555,1102,831,1524,2020-09-23,24,0.9,2020-11-01
Hungary,,,702,1019,843,1300,2020-04-24,23,1.5,2020-11-01
Belarus,,,796,1007,865,1293,2020-08-16,7,1.3,2020-11-01
Bulgaria,,,779,998,884,1187,2020-08-24,18,0.7,2020-11-01
Australia,,,861,972,897,1088,2020-09-03,59,8.6,2020-11-01
Austria,,,777,911,793,1137,2020-04-08,30,2.9,2020-11-01
Serbia,,,744,804,759,892,2020-07-10,18,9.7,2020-11-01
Kuwait,,,590,740,610,938,2020-05-30,11,3.6,2020-11-01
Denmark,,,643,710,652,848,2020-04-04,22,7.1,2020-11-01
Greece,,,357,621,467,913,2020-11-01,10,2.0,2020-11-01
South Korea,,,393,509,409,720,2020-03-02,11,1.0,2020-11-01
United Arab Emirates,,,406,508,411,703,2020-05-10,13,6.9,2020-11-01
Finland,,,343,360,345,420,2020-04-21,43,4.6,2020-11-01
Croatia,,,257,355,291,504,2020-04-19,8,1.6,2020-11-01
Norway,,,267,282,270,315,2020-04-20,16,,2020-11-01
Slovenia,,,143,166,147,210,2020-04-07,6,3.0,2020-11-01
Cuba,,,118,157,128,216,2020-04-24,6,1.6,2020-11-01
Malaysia,,,133,141,135,150,2020-03-29,8,0.6,2020-11-01
Luxembourg,,,124,137,128,157,2020-04-11,8,,2020-11-01
Lithuania,,,87,93,88,103,2020-04-10,6,,2020-11-01
Estonia,,,64,68,66,74,2020-04-02,6,,2020-11-01
Malta,,,25,63,42,112,2020-09-21,3,0.7,2020-11-01
Slovakia,,,41,58,46,88,2020-09-03,4,0.9,2020-11-01
Latvia,,,36,41,37,48,2020-04-21,4,,2020-11-01
Cyprus,,,22,26,23,30,2020-03-30,2,,2020-11-01
Iceland,,,10,11,10,14,2020-03-15,5,,2020-11-01
