country,region,subregion,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio,projection_end_date
Brazil,,,43332,138131,72372,222520,2020-06-04,1473,1.6,2020-10-01
India,,,9520,135478,59250,272233,2020-10-01,1863,2.9,2020-10-01
Mexico,,,17141,84329,45360,116466,2020-06-03,1092,2.9,2020-10-01
United Kingdom,,,41783,50484,43935,59295,2020-04-29,4421,22.8,2020-10-01
Italy,,,34345,36036,34643,36990,2020-03-28,923,21.0,2020-10-01
South Africa,,,1480,32738,16457,48231,2020-09-19,451,7.9,2020-10-01
Pakistan,,,2729,32325,14167,64346,2020-09-22,357,2.0,2020-10-01
France,,,29410,30875,29503,36180,2020-04-15,1440,104.2,2020-10-01
Peru,,,6688,30647,20388,41581,2020-06-14,380,0.7,2020-10-01
Spain,,,27136,28476,27225,33487,2020-04-02,961,,2020-10-01
Chile,,,3323,25070,16582,37170,2020-06-08,627,1.2,2020-10-01
Russia,,,6938,24019,11634,48362,2020-05-29,232,1.6,2020-10-01
Colombia,,,1670,20074,10695,26508,2020-09-22,260,5.5,2020-10-01
Iran,,,8837,15972,10520,30322,2020-04-04,158,1.3,2020-10-01
Canada,,,8218,11562,9006,16779,2020-04-16,251,4.8,2020-10-01
Bangladesh,,,1171,10875,5694,17421,2020-09-27,113,3.5,2020-10-01
Egypt,,,1575,10829,4523,17967,2020-09-26,128,1.4,2020-10-01
Germany,,,8801,10630,9052,14919,2020-04-15,510,30.4,2020-10-01
Indonesia,,,2134,10488,4284,20134,2020-10-01,130,3.0,2020-10-01
Belgium,,,9655,10120,9734,11234,2020-04-10,496,64.8,2020-10-01
Saudi Arabia,,,972,8249,5073,12940,2020-09-18,87,2.2,2020-10-01
Argentina,,,833,6959,2990,12528,2020-10-01,103,5.7,2020-10-01
Netherlands,,,6078,6832,6196,8621,2020-04-07,234,83.0,2020-10-01
Ecuador,,,3896,6668,4415,13607,2020-05-10,410,4.0,2020-10-01
Bolivia,,,611,6535,3579,9599,2020-09-02,69,2.7,2020-10-01
Sweden,,,4874,6318,5435,7565,2020-04-21,185,,2020-10-01
Turkey,,,4807,5704,4948,8267,2020-04-19,127,8.0,2020-10-01
China,,,4638,4647,4638,4701,2020-04-17,1290,,2020-10-01
Ukraine,,,899,3972,1640,7366,2020-08-20,33,3.7,2020-10-01
Poland,,,1247,3287,1633,6547,2020-04-24,40,2.2,2020-10-01
Nigeria,,,420,2544,771,5258,2020-09-30,26,2.0,2020-10-01
Romania,,,1410,2284,1667,3985,2020-05-08,35,1.5,2020-10-01
Philippines,,,1088,2233,1276,4817,2020-04-12,50,1.2,2020-10-01
Moldova,,,406,2190,1154,3415,2020-08-12,20,2.5,2020-10-01
Algeria,,,767,2129,898,6329,2020-04-09,30,2.9,2020-10-01
Portugal,,,1517,2085,1681,3249,2020-04-03,37,6.0,2020-10-01
Switzerland,,,1938,2077,1963,2356,2020-04-04,75,,2020-10-01
Ireland,,,1706,1863,1727,2498,2020-04-24,220,55.0,2020-10-01
Honduras,,,312,1764,749,3278,2020-06-10,19,8.5,2020-10-01
Panama,,,437,1470,637,2844,2020-06-06,16,1.4,2020-10-01
Dominican Republic,,,592,1433,747,3463,2020-04-12,38,0.8,2020-10-01
Japan,,,927,1201,938,1620,2020-05-04,49,,2020-10-01
Belarus,,,308,920,464,2486,2020-09-22,7,1.4,2020-10-01
Hungary,,,562,885,621,1664,2020-04-24,23,4.3,2020-10-01
Kuwait,,,296,867,454,1595,2020-05-30,11,0.9,2020-10-01
Austria,,,677,748,701,886,2020-04-08,30,,2020-10-01
Denmark,,,597,705,633,871,2020-04-04,22,,2020-10-01
Bulgaria,,,174,704,295,1256,2020-06-05,12,3.0,2020-10-01
United Arab Emirates,,,289,469,327,998,2020-05-10,13,6.0,2020-10-01
Finland,,,326,388,339,530,2020-04-21,43,10.0,2020-10-01
Israel,,,300,368,324,502,2020-04-18,13,,2020-10-01
Czechia,,,329,365,347,405,2020-04-14,18,10.0,2020-10-01
Serbia,,,254,325,284,437,2020-04-30,54,6.0,2020-10-01
South Korea,,,277,321,281,435,2020-03-02,11,,2020-10-01
Norway,,,242,272,254,318,2020-04-20,16,,2020-10-01
Morocco,,,212,238,222,270,2020-03-27,12,,2020-10-01
Greece,,,183,225,203,275,2020-04-03,10,,2020-10-01
Malaysia,,,121,148,138,164,2020-03-29,8,3.0,2020-10-01
Croatia,,,107,146,119,224,2020-04-19,8,,2020-10-01
Luxembourg,,,110,124,114,146,2020-04-11,8,,2020-10-01
Slovenia,,,109,123,113,148,2020-04-07,6,,2020-10-01
Lithuania,,,75,120,91,183,2020-04-10,6,,2020-10-01
Australia,,,102,106,102,122,2020-04-23,8,,2020-10-01
Cuba,,,84,99,90,111,2020-04-24,6,,2020-10-01
Estonia,,,69,82,79,87,2020-04-02,6,,2020-10-01
Latvia,,,28,35,32,39,2020-04-21,4,,2020-10-01
Slovakia,,,28,32,29,35,2020-04-15,4,,2020-10-01
Cyprus,,,18,21,20,23,2020-03-30,2,,2020-10-01
Malta,,,9,12,11,14,2020-05-29,2,,2020-10-01
Iceland,,,10,11,11,12,2020-04-06,2,,2020-10-01
