country,region,subregion,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio,projection_end_date
India,,,12948,136056,51869,245078,2020-06-16,2003,4.3,2020-10-01
Brazil,,,48954,129937,78052,199684,2020-06-04,1473,0.9,2020-10-01
Mexico,,,20394,82388,50526,109282,2020-06-03,1092,1.1,2020-10-01
United Kingdom,,,42546,47700,44453,50631,2020-04-21,1172,5.3,2020-10-01
Italy,,,34561,35647,34652,36757,2020-03-29,984,20.9,2020-10-01
Pakistan,,,3382,31665,14013,62380,2020-08-27,331,2.2,2020-10-01
France,,,29620,30561,29665,34163,2020-04-15,1438,66.4,2020-10-01
Spain,,,28315,29282,28378,31647,2020-06-19,1179,0.8,2020-10-01
Russia,,,7831,22820,12453,39416,2020-05-29,232,1.0,2020-10-01
Chile,,,4093,22642,15555,34680,2020-06-08,627,1.0,2020-10-01
Peru,,,7461,22455,13590,34223,2020-06-14,380,,2020-10-01
Colombia,,,2046,19646,11126,25415,2020-09-08,231,2.5,2020-10-01
South Africa,,,1831,18619,10587,26130,2020-08-31,206,2.2,2020-10-01
Iran,,,9392,17396,11606,24215,2020-04-04,158,1.2,2020-10-01
Canada,,,8408,11733,9044,18002,2020-04-16,251,3.6,2020-10-01
Egypt,,,2017,10943,5847,18213,2020-09-04,106,1.3,2020-10-01
Germany,,,8887,10553,9087,14608,2020-04-15,510,20.4,2020-10-01
Bangladesh,,,1388,9995,5513,15614,2020-08-22,96,2.1,2020-10-01
Belgium,,,9695,9955,9726,10458,2020-04-10,496,27.8,2020-10-01
Indonesia,,,2373,8479,4188,15983,2020-09-26,79,2.3,2020-10-01
Argentina,,,979,7383,3094,12634,2020-09-23,92,3.0,2020-10-01
Saudi Arabia,,,1184,7276,4091,11016,2020-08-25,71,1.6,2020-10-01
Netherlands,,,6100,6583,6163,7341,2020-04-07,234,57.0,2020-10-01
Sweden,,,5053,6421,5467,8210,2020-04-21,185,,2020-10-01
Ecuador,,,4156,6195,4555,10831,2020-05-10,410,1.3,2020-10-01
Turkey,,,4905,5783,4980,8551,2020-04-19,127,5.1,2020-10-01
Bolivia,,,715,5512,2899,8418,2020-08-24,57,3.2,2020-10-01
China,,,4638,4650,4638,4709,2020-04-17,1290,,2020-10-01
Ukraine,,,995,3279,1671,4983,2020-06-17,31,1.3,2020-10-01
Poland,,,1334,3036,1810,4490,2020-04-24,40,1.1,2020-10-01
Romania,,,1484,2459,1744,3706,2020-05-08,35,2.1,2020-10-01
Nigeria,,,487,2369,894,4172,2020-06-16,31,1.8,2020-10-01
Philippines,,,1130,2283,1269,4028,2020-04-12,50,1.1,2020-10-01
Switzerland,,,1956,2078,1972,2459,2020-04-04,75,,2020-10-01
Algeria,,,825,2018,958,5666,2020-04-09,30,1.2,2020-10-01
Portugal,,,1527,1890,1617,2481,2020-04-03,37,10.7,2020-10-01
Ireland,,,1714,1817,1727,2223,2020-04-24,220,,2020-10-01
Moldova,,,450,1540,970,2199,2020-06-13,13,2.0,2020-10-01
Honduras,,,349,1432,693,2531,2020-06-10,19,2.0,2020-10-01
Dominican Republic,,,647,1339,780,2989,2020-04-12,38,0.8,2020-10-01
Panama,,,485,1286,700,2357,2020-06-06,16,0.9,2020-10-01
Japan,,,951,1218,957,1781,2020-05-04,49,1.3,2020-10-01
Belarus,,,337,829,463,1849,2020-06-18,7,0.8,2020-10-01
Hungary,,,568,786,603,1151,2020-04-24,23,,2020-10-01
Austria,,,688,749,704,913,2020-04-08,30,,2020-10-01
Denmark,,,600,682,622,854,2020-04-04,22,,2020-10-01
Kuwait,,,313,679,397,1157,2020-05-30,11,1.2,2020-10-01
Bulgaria,,,193,614,333,960,2020-06-05,12,1.7,2020-10-01
United Arab Emirates,,,300,428,327,731,2020-05-10,13,3.5,2020-10-01
Israel,,,304,385,320,626,2020-04-18,13,9.0,2020-10-01
Finland,,,326,372,332,500,2020-04-21,43,,2020-10-01
Czechia,,,335,361,347,396,2020-04-14,18,10.0,2020-10-01
Serbia,,,259,336,280,478,2020-04-01,12,6.0,2020-10-01
South Korea,,,280,314,283,378,2020-03-02,11,,2020-10-01
Norway,,,244,270,253,311,2020-04-20,16,,2020-10-01
Morocco,,,213,239,222,292,2020-03-27,12,,2020-10-01
Greece,,,189,229,203,298,2020-04-03,10,4.0,2020-10-01
Malaysia,,,121,147,137,171,2020-03-29,8,,2020-10-01
Croatia,,,107,136,115,182,2020-04-19,8,,2020-10-01
Slovenia,,,109,121,111,147,2020-04-07,6,,2020-10-01
Luxembourg,,,110,120,112,143,2020-04-11,8,,2020-10-01
Lithuania,,,76,115,86,173,2020-04-10,6,,2020-10-01
Australia,,,102,109,102,139,2020-04-23,8,,2020-10-01
Cuba,,,85,102,90,129,2020-04-24,6,,2020-10-01
Estonia,,,69,77,75,81,2020-04-02,6,,2020-10-01
Latvia,,,30,36,33,42,2020-04-21,4,,2020-10-01
Slovakia,,,28,29,28,32,2020-04-15,4,,2020-10-01
Cyprus,,,19,22,21,23,2020-03-30,2,,2020-10-01
Malta,,,9,11,10,13,2020-05-29,2,,2020-10-01
Iceland,,,10,11,10,12,2020-03-15,5,,2020-10-01
