date,actual_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-03-07,,,,,,,
2020-03-08,,,,,,,
2020-03-09,,,,,,,
2020-03-10,,,,,,,
2020-03-11,,,,,,,
2020-03-12,,,,,,,
2020-03-13,,,,,,,
2020-03-14,,,,,,,
2020-03-15,,,,,,,
2020-03-16,,,,,,,
2020-03-17,,,,,,,
2020-03-18,,,,,,,
2020-03-19,,,,,,,
2020-03-20,,,,,,,
2020-03-21,,,,,,,
2020-03-22,,,,,,,
2020-03-23,,,,,,,
2020-03-24,,,,,,,
2020-03-25,,,,,,,
2020-03-26,,,,,,,
2020-03-27,,,,,,,
2020-03-28,,,,,,,
2020-03-29,,,,,,,
2020-03-30,,,,,,,
2020-03-31,,,,,,,
2020-04-01,1,,,,,,
2020-04-02,0,,,,,,
2020-04-03,1,,,,,,
2020-04-04,1,,,,,,
2020-04-05,,1,1,1,4,4,4
2020-04-06,,1,1,1,5,5,5
2020-04-07,,1,1,1,6,6,6
2020-04-08,,1,1,1,7,7,7
2020-04-09,,1,1,2,8,8,9
2020-04-10,,1,1,2,9,9,11
2020-04-11,,1,1,2,11,10,13
2020-04-12,,1,1,2,12,11,15
2020-04-13,,2,1,2,14,12,17
2020-04-14,,2,1,2,15,13,19
2020-04-15,,2,1,2,17,14,21
2020-04-16,,2,1,2,18,15,23
2020-04-17,,1,1,2,20,16,25
2020-04-18,,1,1,2,21,17,27
2020-04-19,,1,1,2,23,18,29
2020-04-20,,1,1,2,24,19,31
2020-04-21,,1,1,2,26,20,33
2020-04-22,,1,1,2,27,21,35
2020-04-23,,1,1,2,28,22,37
2020-04-24,,1,1,2,29,23,39
2020-04-25,,1,1,2,30,24,41
2020-04-26,,1,1,2,31,25,43
2020-04-27,,1,1,2,32,26,45
2020-04-28,,1,1,2,34,27,47
2020-04-29,,1,1,1,35,28,48
2020-04-30,,1,1,1,36,29,49
2020-05-01,,1,1,1,37,30,50
2020-05-02,,1,1,1,38,31,51
2020-05-03,,1,1,1,39,32,52
2020-05-04,,1,1,1,40,33,53
2020-05-05,,1,1,1,41,34,54
2020-05-06,,1,1,1,42,35,55
2020-05-07,,1,1,1,43,36,56
2020-05-08,,1,1,1,44,37,57
2020-05-09,,1,1,1,45,38,58
2020-05-10,,1,1,1,46,39,59
2020-05-11,,1,1,1,47,40,60
2020-05-12,,1,1,1,48,41,61
2020-05-13,,1,1,1,49,42,62
2020-05-14,,1,1,1,50,43,63
2020-05-15,,1,1,1,51,44,64
2020-05-16,,1,1,1,52,45,65
2020-05-17,,1,1,1,53,46,66
2020-05-18,,1,1,1,54,47,67
2020-05-19,,1,1,1,55,48,68
2020-05-20,,1,1,1,56,49,69
2020-05-21,,1,1,1,57,50,70
2020-05-22,,1,1,1,58,51,71
2020-05-23,,1,1,1,59,52,72
2020-05-24,,1,1,1,60,53,73
2020-05-25,,1,1,1,61,54,74
2020-05-26,,1,1,1,62,55,75
2020-05-27,,1,1,1,63,56,76
2020-05-28,,1,1,1,64,57,77
2020-05-29,,1,1,1,65,58,78
2020-05-30,,1,1,1,66,59,79
2020-05-31,,1,1,1,67,60,80
2020-06-01,,0,0,0,67,60,80
2020-06-02,,0,0,0,67,60,80
2020-06-03,,0,0,0,67,60,80
2020-06-04,,0,0,0,67,60,80
2020-06-05,,0,0,0,67,60,80
2020-06-06,,0,0,0,67,60,80
2020-06-07,,0,0,0,67,60,80
2020-06-08,,0,0,0,67,60,80
2020-06-09,,0,0,0,67,60,80
2020-06-10,,0,0,0,67,60,80
2020-06-11,,0,0,0,67,60,80
2020-06-12,,0,0,0,67,60,80
2020-06-13,,0,0,0,67,60,80
2020-06-14,,0,0,0,67,60,80
2020-06-15,,0,0,0,67,60,80
2020-06-16,,0,0,0,67,60,80
2020-06-17,,0,0,0,67,60,80
2020-06-18,,0,0,0,67,60,80
2020-06-19,,0,0,0,67,60,80
2020-06-20,,0,0,0,67,60,80
2020-06-21,,0,0,0,67,60,80
2020-06-22,,0,0,0,67,60,80
2020-06-23,,0,0,0,67,60,80
2020-06-24,,0,0,0,67,60,80
2020-06-25,,0,0,0,67,60,80
2020-06-26,,0,0,0,67,60,80
2020-06-27,,0,0,0,67,60,80
2020-06-28,,0,0,0,67,60,80
2020-06-29,,0,0,0,67,60,80
2020-06-30,,0,0,0,67,60,80
