country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
US,,71061,161727,99541,265482,2020-04-16,4591,1.0
US,NY,25124,32250,27764,40751,2020-04-16,3215,6.1
US,NJ,8244,16374,11194,23126,2020-04-30,457,0.8
US,PA,3179,12956,7185,18514,2020-05-05,341,0.4
US,IL,2834,9971,5029,14508,2020-05-05,175,0.5
US,MA,4212,9757,6566,17192,2020-04-19,302,1.4
US,MI,4183,8295,5609,14574,2020-04-22,238,3.1
US,CA,2381,6543,3491,12989,2020-04-22,139,0.7
US,CT,2633,5329,3519,9099,2020-04-20,204,1.3
US,GA,1299,4772,2077,8802,2020-04-07,100,0.8
US,OH,1135,4495,1920,7783,2020-04-29,138,0.6
US,IN,1211,4401,1917,8667,2020-04-30,150,0.7
US,FL,1471,4262,1988,9050,2020-04-23,94,0.6
US,MD,1390,4147,2065,8124,2020-04-20,121,0.8
US,LA,2115,4011,2805,6250,2020-04-14,129,1.2
US,TX,925,3711,1540,7850,2020-04-30,58,1.5
US,CO,903,3573,1514,6737,2020-04-24,122,0.7
US,VA,713,2685,1119,5107,2020-05-03,43,0.9
US,MN,455,2142,792,4559,2020-05-05,28,0.8
US,AZ,395,1968,862,3667,2020-05-05,33,0.7
US,IA,207,1593,743,2789,2020-06-28,19,1.0
US,MO,409,1581,673,3421,2020-04-27,47,0.7
US,SC,296,1423,640,2659,2020-04-29,39,1.2
US,MS,342,1422,644,2725,2020-05-05,32,0.4
US,NC,472,1396,749,3337,2020-05-05,30,0.6
US,WA,862,1395,1025,2563,2020-04-06,45,1.0
US,AL,315,1324,619,2513,2020-04-21,20,0.8
US,RI,355,1072,623,1652,2020-04-17,31,0.9
US,DC,264,834,420,1417,2020-04-30,19,1.7
US,DE,187,794,348,1372,2020-04-28,12,1.4
US,KY,275,756,405,1598,2020-04-07,20,0.6
US,NM,162,743,299,1445,2020-05-03,13,1.3
US,NV,270,708,418,1276,2020-04-07,26,1.4
US,OK,247,661,391,1191,2020-04-21,21,0.8
US,WI,353,657,468,1055,2020-04-05,20,0.8
US,KS,161,540,246,1281,2020-04-11,13,1.0
US,NH,92,453,203,898,2020-04-30,12,0.8
US,TN,226,447,328,659,2020-04-14,15,1.0
US,AR,83,387,214,678,2020-05-02,8,1.3
US,NE,78,349,176,683,2020-04-30,14,
US,UT,56,242,96,585,2020-05-05,6,0.3
US,OR,113,238,150,450,2020-04-09,11,0.8
US,PR,99,193,136,310,2020-04-09,9,1.5
US,WV,48,175,92,396,2020-04-20,6,
US,ME,61,164,122,258,2020-04-23,5,0.5
US,ID,65,119,87,159,2020-04-15,6,2.0
US,VT,52,99,79,142,2020-04-16,4,
US,SD,24,95,42,242,2020-05-01,4,0.3
US,ND,25,77,40,159,2020-05-01,4,
US,HI,17,40,28,52,2020-04-27,2,
US,MT,16,34,24,59,2020-03-30,4,
US,WY,7,22,14,33,2020-04-22,4,
US,GU,5,16,12,30,2020-04-11,1,
US,AK,9,15,13,17,2020-04-04,2,
US,VI,4,11,10,14,2020-04-26,1,
US,MP,2,10,8,15,2020-04-07,1,
US,AS,0,,,,,,
