date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-25,,,,,,,,,402,300,500
2020-02-26,,,,,,,,,804,600,1000
2020-02-27,,,,,,,,,1206,900,1500
2020-02-28,,,,,,,,,1608,1200,2000
2020-02-29,,,,,,,,,2010,1500,2500
2020-03-01,,,,,,,,,2412,1800,3000
2020-03-02,,,,,,,,,2814,2100,3500
2020-03-03,,,,,,,,,3216,2400,4000
2020-03-04,,,,,,,,,3618,2700,4500
2020-03-05,,,,,,,,,4760,3539,5900
2020-03-06,,,,,,,,,5898,4377,7295
2020-03-07,,,,,,,,,7100,5260,8767
2020-03-08,,,,,,,,,8435,6237,10396
2020-03-09,,,,,,,,,10044,7410,12349
2020-03-10,,,,,,,,,12081,8887,14810
2020-03-11,,,,,,,,,14456,10605,17672
2020-03-12,,,,,,,,,17135,12537,20891
2020-03-13,,,,,,,,,20180,14729,24540
2020-03-14,,,,,,,,,23676,17237,28714
2020-03-15,,,,,,,,,27738,20146,33553
2020-03-16,,,,,,,,,32408,23487,39171
2020-03-17,,,,,,,,,37713,27285,45644
2020-03-18,,,,,,,,,43718,31591,53069
2020-03-19,,,,,,,,,50510,36478,61595
2020-03-20,1,1,,,,,,,58191,42037,71379
2020-03-21,0,1,,,,,,,66839,48352,82384
2020-03-22,4,5,,,,,,,76508,55503,94631
2020-03-23,4,9,,,,,,,87251,63582,108059
2020-03-24,2,11,,,,,,,99108,72698,122615
2020-03-25,4,15,,,,,,,112107,82964,138230
2020-03-26,10,25,,,,,,,126238,94475,154959
2020-03-27,10,35,,,,,,,141452,107143,172686
2020-03-28,9,44,,,,,,,157667,120816,191502
2020-03-29,4,48,,,,,,,174773,135229,211645
2020-03-30,8,56,,,,,,,192643,150050,233068
2020-03-31,33,89,,,,,,,211136,165016,255597
2020-04-01,33,122,,,,,,,230103,179936,279188
2020-04-02,32,154,,,,,,,249399,194583,303774
2020-04-03,38,192,,,,,,,268890,209007,329020
2020-04-04,24,216,,,,,,,288461,223169,355073
2020-04-05,15,231,,,,,,,308013,236966,381820
2020-04-06,29,260,,,,,,,327470,250323,409031
2020-04-07,96,356,,,,,,,346770,263199,436569
2020-04-08,77,433,,,,,,,365863,275590,464302
2020-04-09,70,503,,,,,,,384710,287475,492115
2020-04-10,96,599,,,,,,,403282,298970,520074
2020-04-11,87,686,,,,,,,421555,310029,548265
2020-04-12,70,756,,,,,,,439513,320712,576455
2020-04-13,88,844,,,,,,,457144,330980,604458
2020-04-14,0,844,,,,,,,474439,340861,631981
2020-04-15,264,1108,,,,,,,491393,350364,659188
2020-04-16,0,1108,,,,,,,508004,359497,686189
2020-04-17,137,1245,,,,,,,524271,368217,712921
2020-04-18,159,1404,,,,,,,540195,376551,739030
2020-04-19,302,1706,,,,,,,555777,384549,764558
2020-04-20,0,1706,,,,,,,571021,392197,789814
2020-04-21,255,1961,,,,,,,585931,399510,814811
2020-04-22,221,2182,,,,,,,600511,406503,839550
2020-04-23,178,2360,,,,,,,614767,413192,864000
2020-04-24,,,189,145,239,2549,2505,2599,628702,419597,888102
2020-04-25,,,191,143,248,2740,2648,2847,642322,425732,911950
2020-04-26,,,193,141,256,2933,2789,3102,655634,431606,935442
2020-04-27,,,193,137,263,3126,2927,3365,668642,437233,958637
2020-04-28,,,192,134,267,3318,3061,3632,681352,442622,981528
2020-04-29,,,191,128,272,3510,3190,3903,693770,447784,1004111
2020-04-30,,,190,123,275,3699,3314,4177,705902,452729,1026378
2020-05-01,,,187,119,276,3887,3433,4453,717752,457467,1048328
2020-05-02,,,185,115,277,4072,3548,4730,729327,462006,1069958
2020-05-03,,,182,111,280,4254,3660,5009,740632,466357,1091264
2020-05-04,,,179,107,280,4433,3767,5288,751673,470527,1112210
2020-05-05,,,176,103,279,4609,3870,5567,762455,474524,1132817
2020-05-06,,,173,99,274,4782,3969,5840,772983,478358,1153083
2020-05-07,,,169,95,272,4951,4065,6112,783262,482044,1173005
2020-05-08,,,166,91,270,5117,4157,6381,793298,485588,1192608
2020-05-09,,,163,87,267,5280,4245,6647,803096,488982,1211875
2020-05-10,,,159,84,261,5439,4329,6908,812660,492229,1230804
2020-05-11,,,156,80,255,5595,4409,7162,821995,495340,1249396
2020-05-12,,,153,76,253,5748,4486,7415,831107,498326,1267650
2020-05-13,,,149,73,250,5897,4560,7664,839999,501191,1285561
2020-05-14,,,146,70,248,6043,4630,7911,848676,503942,1303149
2020-05-15,,,143,67,245,6186,4698,8156,857144,506579,1320412
2020-05-16,,,140,64,241,6325,4762,8396,865405,509099,1337338
2020-05-17,,,136,61,239,6461,4824,8634,873465,511508,1353927
2020-05-18,,,133,59,235,6595,4883,8869,881328,513822,1370180
2020-05-19,,,130,56,232,6725,4939,9100,888997,516044,1386101
2020-05-20,,,127,54,229,6852,4994,9329,896478,518169,1401690
2020-05-21,,,124,51,226,6977,5046,9555,903774,520209,1416951
2020-05-22,,,121,49,223,7098,5095,9777,910888,522175,1431885
2020-05-23,,,119,47,220,7217,5143,9997,917825,524069,1446496
2020-05-24,,,116,45,217,7333,5189,10213,924589,525891,1460787
2020-05-25,,,113,43,213,7446,5232,10426,931182,527636,1474760
2020-05-26,,,111,41,210,7557,5274,10635,937610,529306,1488420
2020-05-27,,,108,40,206,7665,5315,10841,943874,530907,1501768
2020-05-28,,,105,38,203,7770,5353,11044,949980,532440,1514810
2020-05-29,,,103,37,200,7873,5390,11243,955929,533912,1527547
2020-05-30,,,101,35,196,7973,5426,11439,961726,535327,1539985
2020-05-31,,,98,34,193,8072,5460,11632,967373,536686,1552129
2020-06-01,,,96,32,190,8167,5493,11821,973416,538081,1565693
2020-06-02,,,94,31,186,8261,5524,12007,979302,539418,1578969
2020-06-03,,,91,30,183,8352,5554,12189,985061,540701,1592007
2020-06-04,,,89,28,180,8441,5583,12368,990724,541936,1605001
2020-06-05,,,87,27,176,8528,5611,12544,996347,543131,1618185
2020-06-06,,,85,26,173,8613,5637,12717,1001989,544293,1631819
2020-06-07,,,83,25,170,8696,5662,12886,1007606,545412,1645712
2020-06-08,,,81,24,166,8776,5687,13052,1013165,546485,1659679
2020-06-09,,,79,23,163,8855,5710,13215,1018669,547512,1673745
2020-06-10,,,77,22,160,8932,5732,13374,1024120,548495,1687943
2020-06-11,,,75,21,156,9007,5754,13530,1029542,549437,1702365
2020-06-12,,,73,20,153,9080,5774,13683,1034933,550338,1716979
2020-06-13,,,71,19,150,9151,5794,13832,1040285,551205,1731725
2020-06-14,,,69,19,147,9221,5813,13978,1045593,552035,1746648
2020-06-15,,,68,18,144,9288,5831,14121,1050857,552828,1761669
2020-06-16,,,66,17,140,9355,5849,14261,1056081,553584,1776849
2020-06-17,,,64,16,137,9419,5866,14398,1061269,554305,1792198
2020-06-18,,,63,16,135,9482,5882,14532,1066419,554991,1807650
2020-06-19,,,62,15,132,9543,5897,14663,1071529,555645,1823219
2020-06-20,,,60,15,130,9604,5912,14793,1076598,556269,1838907
2020-06-21,,,60,14,128,9663,5927,14921,1081627,556860,1854732
2020-06-22,,,59,14,129,9723,5941,15050,1086617,557420,1870705
2020-06-23,,,59,13,130,9781,5955,15179,1091567,557950,1886835
2020-06-24,,,58,13,130,9839,5968,15308,1096478,558451,1903099
2020-06-25,,,57,12,130,9897,5981,15438,1101349,558924,1919490
2020-06-26,,,57,12,132,9954,5994,15570,1106179,559370,1936001
2020-06-27,,,57,12,135,10010,6006,15704,1110973,559793,1952664
2020-06-28,,,56,11,137,10067,6017,15840,1115729,560193,1969493
2020-06-29,,,56,11,138,10123,6029,15978,1120449,560571,1986491
2020-06-30,,,55,10,139,10178,6039,16117,1125131,560929,2003620
2020-07-01,,,55,10,141,10233,6050,16257,1129777,561268,2020832
2020-07-02,,,55,9,143,10288,6060,16400,1134387,561589,2038146
2020-07-03,,,54,9,145,10342,6069,16544,1138961,561892,2055579
2020-07-04,,,54,9,146,10396,6078,16690,1143500,562179,2073106
2020-07-05,,,53,8,148,10449,6087,16837,1148003,562450,2090693
2020-07-06,,,53,8,150,10503,6095,16986,1152472,562705,2108403
2020-07-07,,,53,7,151,10555,6103,17136,1156905,562946,2126212
2020-07-08,,,52,7,152,10607,6111,17288,1161304,563174,2144110
2020-07-09,,,52,7,154,10659,6118,17441,1165669,563390,2162090
2020-07-10,,,51,6,155,10711,6125,17596,1169999,563594,2180127
2020-07-11,,,51,6,156,10762,6131,17751,1174295,563787,2198241
2020-07-12,,,51,6,157,10813,6138,17908,1178556,563969,2216439
2020-07-13,,,50,5,159,10863,6144,18066,1182784,564142,2234694
2020-07-14,,,50,5,160,10913,6149,18226,1186977,564305,2252984
2020-07-15,,,50,5,162,10962,6155,18387,1191136,564459,2271271
2020-07-16,,,49,5,163,11011,6160,18549,1195261,564605,2289557
2020-07-17,,,49,4,164,11060,6164,18713,1199351,564743,2307849
2020-07-18,,,48,4,166,11108,6169,18878,1203408,564874,2326171
2020-07-19,,,48,4,167,11156,6173,19045,1207430,564997,2344515
2020-07-20,,,48,4,169,11204,6177,19213,1211418,565114,2362837
2020-07-21,,,47,3,170,11251,6181,19383,1215371,565225,2381162
2020-07-22,,,47,3,172,11298,6185,19554,1219290,565329,2399464
2020-07-23,,,46,3,172,11345,6188,19726,1223174,565428,2417766
2020-07-24,,,46,3,173,11391,6191,19899,1227024,565521,2436056
2020-07-25,,,46,3,175,11436,6194,20073,1230839,565610,2454301
2020-07-26,,,45,2,176,11482,6197,20248,1234618,565694,2472495
2020-07-27,,,45,2,176,11527,6200,20424,1238363,565773,2490652
2020-07-28,,,45,2,177,11572,6203,20601,1242073,565848,2508747
2020-07-29,,,44,2,178,11616,6205,20778,1245747,565919,2526791
2020-07-30,,,44,2,179,11660,6207,20957,1249386,565986,2544775
2020-07-31,,,44,2,180,11703,6210,21137,1252989,566049,2562691
2020-08-01,,,43,2,181,11747,6212,21317,1256557,566108,2580534
2020-08-02,,,43,1,181,11790,6214,21498,1260088,566165,2598295
2020-08-03,,,43,1,182,11832,6215,21680,1263584,566218,2615969
2020-08-04,,,42,1,183,11875,6217,21862,1267044,566268,2633548
