date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-24,,,,,,,,,140,100,300
2020-02-25,,,,,,,,,279,200,600
2020-02-26,,,,,,,,,419,300,900
2020-02-27,,,,,,,,,559,400,1200
2020-02-28,,,,,,,,,699,500,1500
2020-02-29,,,,,,,,,838,600,1800
2020-03-01,,,,,,,,,978,700,2100
2020-03-02,,,,,,,,,1118,800,2400
2020-03-03,,,,,,,,,1258,900,2700
2020-03-04,,,,,,,,,1654,1179,3476
2020-03-05,,,,,,,,,2049,1459,4249
2020-03-06,,,,,,,,,2466,1753,5055
2020-03-07,,,,,,,,,2929,2079,5932
2020-03-08,,,,,,,,,3487,2470,6957
2020-03-09,,,,,,,,,4194,2962,8209
2020-03-10,,,,,,,,,5019,3535,9633
2020-03-11,,,,,,,,,5948,4180,11200
2020-03-12,,,,,,,,,7005,4911,12929
2020-03-13,,,,,,,,,8217,5747,14854
2020-03-14,,,,,,,,,9625,6717,17018
2020-03-15,,,,,,,,,11240,7831,19439
2020-03-16,,,,,,,,,13070,9096,22115
2020-03-17,,,,,,,,,15134,10530,25050
2020-03-18,,,,,,,,,17457,12156,28273
2020-03-19,1,1,,,,,,,20068,14003,31827
2020-03-20,0,1,,,,,,,22984,16096,35721
2020-03-21,1,2,,,,,,,26213,18457,39952
2020-03-22,1,3,,,,,,,29761,21109,44500
2020-03-23,0,3,,,,,,,33630,24071,49383
2020-03-24,1,4,,,,,,,37816,27350,54552
2020-03-25,0,4,,,,,,,42304,30888,60039
2020-03-26,0,4,,,,,,,47066,34633,65923
2020-03-27,1,5,,,,,,,52066,38545,72161
2020-03-28,0,5,,,,,,,57263,42543,78712
2020-03-29,5,10,,,,,,,62613,46609,85504
2020-03-30,5,15,,,,,,,68076,50682,92489
2020-03-31,3,18,,,,,,,73614,54724,99661
2020-04-01,13,31,,,,,,,79197,58750,107082
2020-04-02,5,36,,,,,,,84800,62703,114712
2020-04-03,7,43,,,,,,,90402,66570,122374
2020-04-04,11,54,,,,,,,95985,70364,130123
2020-04-05,13,67,,,,,,,101537,74062,137973
2020-04-06,24,91,,,,,,,107045,77633,145921
2020-04-07,12,103,,,,,,,112501,81079,153938
2020-04-08,21,124,,,,,,,117899,84396,161998
2020-04-09,14,138,,,,,,,123234,87590,170077
2020-04-10,33,171,,,,,,,128502,90645,178155
2020-04-11,35,206,,,,,,,133700,93566,186216
2020-04-12,30,236,,,,,,,138827,96370,194311
2020-04-13,26,262,,,,,,,143882,99049,202428
2020-04-14,40,302,,,,,,,148864,101605,210549
2020-04-15,9,311,,,,,,,153774,104063,218678
2020-04-16,8,319,,,,,,,158613,106425,226812
2020-04-17,15,334,,,,,,,163380,108666,234947
2020-04-18,87,421,,,,,,,168077,110790,243078
2020-04-19,40,461,,,,,,,172705,112805,251201
2020-04-20,121,582,,,,,,,177265,114719,259313
2020-04-21,70,652,,,,,,,181758,116547,267412
2020-04-22,46,698,,,,,,,186186,118305,275493
2020-04-23,50,748,,,,,,,190549,119994,283556
2020-04-24,,,55,39,75,803,787,823,194850,121600,291597
2020-04-25,,,55,38,76,859,825,899,199088,123125,299616
2020-04-26,,,55,37,77,914,863,975,203266,124583,307569
2020-04-27,,,55,37,78,969,900,1053,207385,125968,315411
2020-04-28,,,55,35,79,1024,936,1131,211446,127287,323144
2020-04-29,,,54,34,80,1078,971,1211,215450,128548,330765
2020-04-30,,,54,33,80,1132,1004,1291,219398,129757,338276
2020-05-01,,,53,32,81,1185,1036,1371,223292,130918,345677
2020-05-02,,,53,30,81,1238,1067,1451,227132,132032,352967
2020-05-03,,,52,29,81,1290,1096,1531,230920,133101,360148
2020-05-04,,,51,28,81,1341,1125,1612,234656,134130,367282
2020-05-05,,,51,27,81,1392,1152,1693,238341,135114,374398
2020-05-06,,,50,25,81,1442,1177,1774,241977,136054,381495
2020-05-07,,,49,24,82,1491,1202,1855,245564,136950,388572
2020-05-08,,,48,23,82,1539,1226,1936,249103,137802,395627
2020-05-09,,,48,22,82,1587,1248,2017,252594,138615,402658
2020-05-10,,,47,21,82,1634,1270,2098,256040,139389,409666
2020-05-11,,,46,20,82,1680,1290,2180,259440,140127,416648
2020-05-12,,,46,19,82,1726,1309,2261,262795,140831,423603
2020-05-13,,,45,18,81,1771,1328,2341,266106,141502,430530
2020-05-14,,,44,17,81,1815,1345,2422,269373,142142,437428
2020-05-15,,,44,16,81,1859,1362,2503,272598,142753,444296
2020-05-16,,,43,16,81,1902,1379,2583,275780,143336,451132
2020-05-17,,,42,15,81,1944,1394,2663,278921,143892,457935
2020-05-18,,,42,14,80,1986,1409,2743,282021,144423,464705
2020-05-19,,,41,13,79,2027,1423,2821,285080,144930,471440
2020-05-20,,,41,13,78,2068,1436,2898,288100,145415,478140
2020-05-21,,,40,12,77,2108,1449,2975,291080,145878,484802
2020-05-22,,,40,12,76,2147,1461,3050,294021,146320,491426
2020-05-23,,,39,11,75,2186,1473,3124,296923,146743,498012
2020-05-24,,,38,11,73,2225,1484,3197,299788,147148,504557
2020-05-25,,,38,10,72,2263,1494,3269,302615,147535,511062
2020-05-26,,,37,10,72,2300,1505,3340,305405,147905,517525
2020-05-27,,,37,9,72,2337,1515,3411,308158,148259,523945
2020-05-28,,,36,9,71,2373,1524,3482,310875,148597,530322
2020-05-29,,,36,9,71,2409,1533,3553,313556,148921,536654
2020-05-30,,,35,8,71,2445,1542,3623,316202,149231,542941
2020-05-31,,,35,8,71,2480,1550,3693,318813,149528,549182
2020-06-01,,,34,7,71,2514,1558,3763,321643,149838,556128
2020-06-02,,,34,7,70,2548,1565,3833,324436,150135,563016
2020-06-03,,,34,7,70,2582,1572,3903,327204,150420,569895
2020-06-04,,,33,6,70,2615,1579,3972,329963,150694,576826
2020-06-05,,,33,6,69,2648,1586,4041,332741,150960,583948
2020-06-06,,,32,6,69,2680,1592,4110,335566,151221,591387
2020-06-07,,,32,5,69,2712,1598,4178,338416,151476,599061
2020-06-08,,,31,5,69,2743,1603,4246,341276,151724,606895
2020-06-09,,,31,5,68,2774,1609,4314,344147,151962,614905
2020-06-10,,,31,5,68,2805,1614,4381,347032,152188,623110
2020-06-11,,,30,4,67,2835,1619,4448,349941,152405,631566
2020-06-12,,,30,4,67,2865,1623,4514,352876,152613,640253
2020-06-13,,,29,4,67,2894,1628,4581,355830,152813,649171
2020-06-14,,,29,4,66,2923,1632,4646,358804,153007,658321
2020-06-15,,,29,4,66,2952,1636,4712,361796,153195,667696
2020-06-16,,,28,3,66,2980,1640,4777,364811,153376,677312
2020-06-17,,,28,3,65,3008,1644,4842,367849,153549,687180
2020-06-18,,,28,3,65,3036,1647,4906,370910,153714,697298
2020-06-19,,,27,3,64,3063,1651,4970,373994,153870,707667
2020-06-20,,,27,3,65,3090,1654,5034,377101,154020,718288
2020-06-21,,,27,3,65,3117,1657,5099,380230,154165,729167
2020-06-22,,,27,3,65,3145,1660,5163,383385,154304,740319
2020-06-23,,,27,3,67,3172,1663,5229,386564,154438,751743
2020-06-24,,,28,2,68,3200,1666,5297,389767,154566,763443
2020-06-25,,,28,2,69,3227,1669,5366,392996,154689,775420
2020-06-26,,,28,2,71,3255,1672,5436,396251,154805,787678
2020-06-27,,,28,2,73,3283,1674,5508,399532,154917,800223
2020-06-28,,,28,2,75,3312,1677,5583,402840,155023,813058
2020-06-29,,,28,2,77,3340,1680,5659,406177,155124,826185
2020-06-30,,,29,2,79,3368,1682,5737,409541,155219,839608
2020-07-01,,,29,2,81,3397,1684,5817,412934,155309,853329
2020-07-02,,,29,2,83,3426,1687,5900,416356,155393,867349
2020-07-03,,,29,2,85,3455,1689,5985,419807,155473,881672
