date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-19,,,,,,,,,313,200,400
2020-02-20,,,,,,,,,625,400,800
2020-02-21,,,,,,,,,938,600,1200
2020-02-22,,,,,,,,,1250,800,1600
2020-02-23,,,,,,,,,1563,1000,2000
2020-02-24,,,,,,,,,1875,1200,2400
2020-02-25,,,,,,,,,2188,1400,2800
2020-02-26,,,,,,,,,2500,1600,3200
2020-02-27,,,,,,,,,2813,1800,3600
2020-02-28,,,,,,,,,3744,2399,4867
2020-02-29,,,,,,,,,4671,2997,6125
2020-03-01,,,,,,,,,5655,3633,7467
2020-03-02,,,,,,,,,6756,4347,8979
2020-03-03,,,,,,,,,8099,5222,10845
2020-03-04,,,,,,,,,9819,6348,13251
2020-03-05,,,,,,,,,11829,7675,16085
2020-03-06,,,,,,,,,14095,9188,19276
2020-03-07,,,,,,,,,16666,10928,22890
2020-03-08,,,,,,,,,19598,12942,27032
2020-03-09,,,,,,,,,22961,15285,31703
2020-03-10,,,,,,,,,26742,17992,36867
2020-03-11,,,,,,,,,30909,21052,42438
2020-03-12,,,,,,,,,35444,24484,48371
2020-03-13,,,,,,,,,40337,28238,54594
2020-03-14,1,1,,,,,,,45574,32333,61058
2020-03-15,1,2,,,,,,,51118,36720,67810
2020-03-16,1,3,,,,,,,56916,41398,74803
2020-03-17,1,4,,,,,,,62921,46307,81949
2020-03-18,0,4,,,,,,,69092,51394,89242
2020-03-19,6,10,,,,,,,75392,56621,96676
2020-03-20,4,14,,,,,,,81790,61921,104229
2020-03-21,2,16,,,,,,,88253,67292,111851
2020-03-22,4,20,,,,,,,94754,72697,119547
2020-03-23,15,35,,,,,,,101274,78121,127203
2020-03-24,11,46,,,,,,,107798,83571,134911
2020-03-25,19,65,,,,,,,114313,89014,142623
2020-03-26,18,83,,,,,,,120808,94433,150348
2020-03-27,36,119,,,,,,,127276,99808,158090
2020-03-28,18,137,,,,,,,133709,105135,165833
2020-03-29,14,151,,,,,,,140103,110403,173569
2020-03-30,34,185,,,,,,,146453,115572,181315
2020-03-31,54,239,,,,,,,152757,120605,189063
2020-04-01,34,273,,,,,,,159012,125512,196827
2020-04-02,37,310,,,,,,,165217,130288,204604
2020-04-03,60,370,,,,,,,171369,134887,212416
2020-04-04,39,409,,,,,,,177469,139299,220218
2020-04-05,68,477,,,,,,,183516,143558,228024
2020-04-06,35,512,,,,,,,189509,147679,235844
2020-04-07,70,582,,,,,,,195448,151626,243673
2020-04-08,70,652,,,,,,,201334,155430,251512
2020-04-09,50,702,,,,,,,207165,159090,259360
2020-04-10,53,755,,,,,,,212942,162630,267212
2020-04-11,51,806,,,,,,,218665,166055,275053
2020-04-12,34,840,,,,,,,224334,169314,282892
2020-04-13,44,884,,,,,,,229950,172445,290726
2020-04-14,129,1013,,,,,,,235512,175476,298541
2020-04-15,90,1103,,,,,,,241022,178391,306334
