date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-24,,,,,,,,,109,50,150
2020-02-25,,,,,,,,,218,100,300
2020-02-26,,,,,,,,,327,150,450
2020-02-27,,,,,,,,,435,200,600
2020-02-28,,,,,,,,,544,250,750
2020-02-29,,,,,,,,,653,300,900
2020-03-01,,,,,,,,,762,350,1050
2020-03-02,,,,,,,,,871,400,1200
2020-03-03,,,,,,,,,980,450,1350
2020-03-04,,,,,,,,,1249,599,1707
2020-03-05,,,,,,,,,1517,748,2060
2020-03-06,,,,,,,,,1794,907,2424
2020-03-07,,,,,,,,,2091,1084,2809
2020-03-08,,,,,,,,,2433,1301,3245
2020-03-09,,,,,,,,,2840,1578,3764
2020-03-10,,,,,,,,,3292,1901,4337
2020-03-11,,,,,,,,,3776,2259,4938
2020-03-12,,,,,,,,,4291,2649,5572
2020-03-13,,,,,,,,,4841,3066,6233
2020-03-14,,,,,,,,,5429,3521,6937
2020-03-15,,,,,,,,,6050,4011,7677
2020-03-16,,,,,,,,,6696,4528,8443
2020-03-17,,,,,,,,,7361,5068,9231
2020-03-18,,,,,,,,,8043,5629,10036
2020-03-19,1,1,,,,,,,8741,6210,10850
2020-03-20,0,1,,,,,,,9451,6809,11676
2020-03-21,0,1,,,,,,,10171,7423,12506
2020-03-22,1,2,,,,,,,10898,8051,13341
2020-03-23,0,2,,,,,,,11630,8689,14177
2020-03-24,1,3,,,,,,,12368,9333,15018
2020-03-25,2,5,,,,,,,13109,9979,15866
2020-03-26,2,7,,,,,,,13854,10624,16724
2020-03-27,1,8,,,,,,,14602,11265,17587
2020-03-28,7,15,,,,,,,15351,11900,18460
2020-03-29,1,16,,,,,,,16102,12526,19345
2020-03-30,0,16,,,,,,,16854,13142,20245
2020-03-31,7,23,,,,,,,17607,13747,21155
2020-04-01,7,30,,,,,,,18361,14341,22080
2020-04-02,4,34,,,,,,,19115,14924,23018
2020-04-03,4,38,,,,,,,19869,15491,23967
2020-04-04,4,42,,,,,,,20623,16048,24929
2020-04-05,4,46,,,,,,,21378,16595,25905
2020-04-06,5,51,,,,,,,22131,17133,26890
2020-04-07,16,67,,,,,,,22885,17662,27887
2020-04-08,12,79,,,,,,,23638,18176,28893
2020-04-09,1,80,,,,,,,24390,18679,29910
2020-04-10,8,88,,,,,,,25142,19169,30940
2020-04-11,6,94,,,,,,,25893,19649,31981
2020-04-12,2,96,,,,,,,26642,20119,33035
2020-04-13,3,99,,,,,,,27391,20580,34100
2020-04-14,9,108,,,,,,,28139,21029,35177
2020-04-15,15,123,,,,,,,28885,21467,36266
2020-04-16,8,131,,,,,,,29630,21894,37366
2020-04-17,5,136,,,,,,,30373,22311,38476
2020-04-18,0,136,,,,,,,31115,22717,39597
2020-04-19,4,140,,,,,,,31855,23113,40729
2020-04-20,3,143,,,,,,,32593,23500,41871
2020-04-21,21,164,,,,,,,33329,23877,43023
2020-04-22,6,170,,,,,,,34064,24246,44185
2020-04-23,9,179,,,,,,,34796,24606,45357
2020-04-24,,,8,5,10,187,184,189,35526,24957,46538
2020-04-25,,,8,5,10,194,190,198,36254,25300,47728
2020-04-26,,,8,5,10,202,196,208,36980,25632,48927
2020-04-27,,,8,5,10,209,201,218,37703,25957,50134
2020-04-28,,,8,5,10,217,206,228,38424,26274,51350
2020-04-29,,,8,5,10,224,212,238,39142,26584,52574
2020-04-30,,,8,5,11,232,217,248,39858,26888,53807
2020-05-01,,,8,5,11,239,222,258,40570,27185,55047
2020-05-02,,,8,4,11,247,227,268,41280,27476,56294
2020-05-03,,,8,4,11,254,232,278,41987,27760,57549
2020-05-04,,,7,4,11,262,236,289,42691,28038,58811
2020-05-05,,,7,4,11,269,241,300,43391,28311,60080
2020-05-06,,,7,4,11,277,246,310,44089,28578,61355
2020-05-07,,,7,4,11,284,250,321,44783,28839,62637
2020-05-08,,,7,4,11,292,254,332,45474,29094,63925
2020-05-09,,,7,4,12,299,258,343,46161,29344,65219
2020-05-10,,,7,4,12,306,262,355,46845,29589,66518
2020-05-11,,,7,3,12,314,266,366,47525,29829,67823
2020-05-12,,,7,3,12,321,270,377,48202,30063,69134
2020-05-13,,,7,3,12,329,274,389,48875,30293,70449
2020-05-14,,,7,3,12,336,278,400,49544,30517,71769
2020-05-15,,,7,3,12,343,281,412,50209,30737,73093
2020-05-16,,,7,3,12,351,285,424,50869,30952,74422
2020-05-17,,,7,3,12,358,288,436,51526,31162,75755
2020-05-18,,,7,3,12,365,292,448,52179,31367,77092
2020-05-19,,,7,3,13,372,295,460,52827,31568,78433
2020-05-20,,,7,3,13,380,298,472,53471,31765,79776
2020-05-21,,,7,3,13,387,301,484,54111,31957,81123
2020-05-22,,,7,3,13,394,304,497,54746,32144,82473
2020-05-23,,,7,2,13,401,307,509,55377,32328,83826
2020-05-24,,,7,2,13,408,310,521,56003,32507,85181
2020-05-25,,,7,2,13,415,313,534,56624,32681,86538
2020-05-26,,,7,2,13,422,316,547,57241,32852,87897
2020-05-27,,,7,2,13,429,319,559,57853,33018,89258
2020-05-28,,,7,2,13,436,321,572,58460,33181,90621
2020-05-29,,,7,2,13,443,324,585,59062,33339,91985
2020-05-30,,,7,2,13,450,326,598,59659,33493,93350
2020-05-31,,,7,2,13,457,329,611,60250,33643,94715
2020-06-01,,,7,2,13,464,331,624,60893,33811,96269
