date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-21,,,,,,,,,96,25,125
2020-02-22,,,,,,,,,192,50,250
2020-02-23,,,,,,,,,287,75,375
2020-02-24,,,,,,,,,383,100,500
2020-02-25,,,,,,,,,479,125,625
2020-02-26,,,,,,,,,575,150,750
2020-02-27,,,,,,,,,671,175,875
2020-02-28,,,,,,,,,767,200,1000
2020-02-29,,,,,,,,,862,225,1125
2020-03-01,,,,,,,,,1089,304,1425
2020-03-02,,,,,,,,,1314,384,1723
2020-03-03,,,,,,,,,1547,470,2032
2020-03-04,,,,,,,,,1797,567,2363
2020-03-05,,,,,,,,,2082,688,2741
2020-03-06,,,,,,,,,2422,848,3191
2020-03-07,,,,,,,,,2801,1038,3692
2020-03-08,,,,,,,,,3212,1258,4233
2020-03-09,,,,,,,,,3657,1513,4822
2020-03-10,,,,,,,,,4140,1814,5455
2020-03-11,,,,,,,,,4667,2170,6144
2020-03-12,,,,,,,,,5236,2583,6890
2020-03-13,,,,,,,,,5841,3047,7670
2020-03-14,,,,,,,,,6480,3534,8484
2020-03-15,,,,,,,,,7150,4043,9328
2020-03-16,1,1,,,,,,,7849,4572,10197
2020-03-17,0,1,,,,,,,8573,5118,11092
2020-03-18,0,1,,,,,,,9319,5681,12004
2020-03-19,0,1,,,,,,,10080,6261,12930
2020-03-20,0,1,,,,,,,10854,6855,13867
2020-03-21,1,2,,,,,,,11636,7463,14811
2020-03-22,0,2,,,,,,,12423,8085,15760
2020-03-23,2,4,,,,,,,13214,8720,16711
2020-03-24,0,4,,,,,,,14006,9364,17671
2020-03-25,2,6,,,,,,,14798,10015,18634
2020-03-26,4,10,,,,,,,15587,10668,19599
2020-03-27,0,10,,,,,,,16375,11312,20572
2020-03-28,0,10,,,,,,,17159,11948,21550
2020-03-29,5,15,,,,,,,17940,12572,22533
2020-03-30,0,15,,,,,,,18716,13181,23520
2020-03-31,11,26,,,,,,,19489,13774,24514
2020-04-01,5,31,,,,,,,20256,14350,25506
2020-04-02,7,38,,,,,,,21019,14912,26506
2020-04-03,5,43,,,,,,,21778,15456,27512
2020-04-04,3,46,,,,,,,22531,15986,28520
2020-04-05,0,46,,,,,,,23279,16500,29535
2020-04-06,0,46,,,,,,,24023,16998,30554
2020-04-07,26,72,,,,,,,24762,17476,31579
2020-04-08,0,72,,,,,,,25495,17937,32608
2020-04-09,9,81,,,,,,,26224,18385,33642
2020-04-10,9,90,,,,,,,26947,18820,34674
2020-04-11,12,102,,,,,,,27666,19240,35708
2020-04-12,10,112,,,,,,,28380,19648,36746
2020-04-13,2,114,,,,,,,29089,20043,37787
2020-04-14,12,126,,,,,,,29792,20426,38829
2020-04-15,5,131,,,,,,,30491,20797,39875
2020-04-16,6,137,,,,,,,31185,21157,40924
2020-04-17,5,142,,,,,,,31875,21506,41975
2020-04-18,9,151,,,,,,,32559,21844,43029
2020-04-19,7,158,,,,,,,33238,22170,44084
2020-04-20,1,159,,,,,,,33913,22487,45142
2020-04-21,4,163,,,,,,,34582,22795,46200
2020-04-22,9,172,,,,,,,35247,23094,47260
2020-04-23,23,195,,,,,,,35906,23386,48321
2020-04-24,,,8,5,10,203,200,205,36561,23666,49382
2020-04-25,,,8,5,11,210,206,216,37211,23940,50444
2020-04-26,,,8,5,11,218,211,226,37856,24206,51505
2020-04-27,,,7,5,11,225,216,236,38496,24465,52567
2020-04-28,,,7,5,11,233,221,246,39131,24718,53628
2020-04-29,,,7,4,11,240,226,256,39760,24964,54688
2020-04-30,,,7,4,11,247,231,266,40385,25202,55747
2020-05-01,,,7,4,11,255,235,277,41005,25434,56805
2020-05-02,,,7,4,11,262,239,287,41620,25660,57861
2020-05-03,,,7,4,11,269,244,297,42230,25881,58915
2020-05-04,,,7,4,11,276,248,308,42834,26096,59967
2020-05-05,,,7,3,11,283,252,318,43434,26306,61017
2020-05-06,,,7,3,11,290,255,329,44028,26512,62065
2020-05-07,,,7,3,11,297,259,339,44617,26712,63110
2020-05-08,,,7,3,11,304,263,350,45201,26908,64151
2020-05-09,,,7,3,11,311,266,360,45780,27099,65190
2020-05-10,,,7,3,11,318,270,371,46353,27286,66225
2020-05-11,,,7,3,11,325,273,381,46921,27468,67257
2020-05-12,,,7,3,11,332,276,392,47484,27646,68284
2020-05-13,,,7,3,11,338,279,402,48041,27820,69308
2020-05-14,,,7,3,11,345,282,413,48593,27990,70327
2020-05-15,,,7,2,11,351,285,423,49140,28155,71343
2020-05-16,,,7,2,11,358,288,434,49681,28317,72353
2020-05-17,,,6,2,11,365,291,445,50217,28475,73359
2020-05-18,,,6,2,11,371,293,455,50747,28630,74359
2020-05-19,,,6,2,11,377,296,466,51272,28780,75355
2020-05-20,,,6,2,11,384,299,476,51791,28927,76345
2020-05-21,,,6,2,11,390,301,487,52305,29071,77329
2020-05-22,,,6,2,11,396,303,498,52813,29210,78308
2020-05-23,,,6,2,11,402,306,508,53315,29347,79281
2020-05-24,,,6,2,11,409,308,519,53811,29480,80248
2020-05-25,,,6,2,11,415,310,529,54302,29610,81208
2020-05-26,,,6,2,11,421,312,540,54788,29736,82162
2020-05-27,,,6,2,11,427,315,550,55267,29859,83109
2020-05-28,,,6,2,11,433,317,561,55741,29979,84050
2020-05-29,,,6,2,11,439,319,571,56208,30095,84983
2020-05-30,,,6,1,11,444,321,582,56670,30209,85909
2020-05-31,,,6,1,11,450,322,592,57126,30319,86829
2020-06-01,,,6,1,11,456,324,602,57620,30428,87864
2020-06-02,,,6,1,11,462,326,613,58106,30533,88891
2020-06-03,,,6,1,11,467,328,623,58589,30636,89919
2020-06-04,,,6,1,11,473,330,633,59069,30735,90956
2020-06-05,,,6,1,11,478,331,643,59552,30831,92020
2020-06-06,,,5,1,11,484,333,653,60043,30924,93135
2020-06-07,,,5,1,11,489,335,664,60536,31015,94283
2020-06-08,,,5,1,11,495,336,674,61031,31102,95455
2020-06-09,,,5,1,11,500,338,684,61527,31187,96651
