date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-23,,,,,,,,,188,50,250
2020-02-24,,,,,,,,,375,100,500
2020-02-25,,,,,,,,,563,150,750
2020-02-26,,,,,,,,,751,200,1000
2020-02-27,,,,,,,,,939,250,1250
2020-02-28,,,,,,,,,1126,300,1500
2020-02-29,,,,,,,,,1314,350,1750
2020-03-01,,,,,,,,,1502,400,2000
2020-03-02,,,,,,,,,1690,450,2250
2020-03-03,,,,,,,,,2286,639,3084
2020-03-04,,,,,,,,,2880,829,3911
2020-03-05,,,,,,,,,3517,1038,4800
2020-03-06,,,,,,,,,4240,1285,5813
2020-03-07,,,,,,,,,5142,1613,7085
2020-03-08,,,,,,,,,6325,2068,8757
2020-03-09,,,,,,,,,7734,2634,10742
2020-03-10,,,,,,,,,9355,3317,13012
2020-03-11,,,,,,,,,11246,4157,15633
2020-03-12,,,,,,,,,13472,5209,18722
2020-03-13,,,,,,,,,16122,6542,22403
2020-03-14,,,,,,,,,19227,8203,26724
2020-03-15,,,,,,,,,22812,10252,31679
2020-03-16,,,,,,,,,26927,12780,37328
2020-03-17,,,,,,,,,31634,15903,43747
2020-03-18,,,,,,,,,36994,19709,50916
2020-03-19,2,2,,,,,,,43038,24261,58733
2020-03-20,1,3,,,,,,,49771,29492,67265
2020-03-21,1,4,,,,,,,57183,35381,76403
2020-03-22,4,8,,,,,,,65249,41935,86160
2020-03-23,2,10,,,,,,,73922,49094,96455
2020-03-24,2,12,,,,,,,83123,56778,107351
2020-03-25,7,19,,,,,,,92755,64825,118711
2020-03-26,2,21,,,,,,,102715,73131,130360
2020-03-27,6,27,,,,,,,112908,81510,142210
2020-03-28,6,33,,,,,,,123248,89912,154323
2020-03-29,1,34,,,,,,,133666,98245,166533
2020-03-30,2,36,,,,,,,144103,106467,178906
2020-03-31,33,69,,,,,,,154509,114497,191396
2020-04-01,16,85,,,,,,,164844,122374,203935
2020-04-02,27,112,,,,,,,175077,130005,216602
2020-04-03,19,131,,,,,,,185183,137402,229194
2020-04-04,34,165,,,,,,,195143,144614,241783
2020-04-05,24,189,,,,,,,204944,151519,254452
2020-04-06,17,206,,,,,,,214573,158141,267136
2020-04-07,71,277,,,,,,,224024,164480,279784
2020-04-08,49,326,,,,,,,233291,170542,292365
2020-04-09,54,380,,,,,,,242373,176351,304806
2020-04-10,68,448,,,,,,,251267,181871,317198
2020-04-11,46,494,,,,,,,259973,187139,329494
2020-04-12,60,554,,,,,,,268493,192153,341730
2020-04-13,48,602,,,,,,,276828,196895,353951
2020-04-14,69,671,,,,,,,284981,201399,366085
2020-04-15,197,868,,,,,,,292953,205673,378125
2020-04-16,103,971,,,,,,,300748,209714,390022
2020-04-17,65,1036,,,,,,,308369,213531,401823
2020-04-18,50,1086,,,,,,,315820,217129,413521
2020-04-19,41,1127,,,,,,,323103,220524,425110
2020-04-20,204,1331,,,,,,,330222,223725,436586
2020-04-21,92,1423,,,,,,,337181,226751,447933
2020-04-22,121,1544,,,,,,,343983,229615,459163
2020-04-23,95,1639,,,,,,,350631,232344,470273
2020-04-24,,,101,76,124,1740,1715,1763,357129,234931,481259
2020-04-25,,,100,73,125,1841,1789,1888,363481,237386,492118
2020-04-26,,,99,72,125,1940,1861,2013,369688,239715,502847
2020-04-27,,,98,69,126,2038,1930,2139,375755,241925,513438
2020-04-28,,,96,66,127,2134,1997,2265,381684,244014,523887
2020-04-29,,,94,63,126,2228,2060,2391,387479,245983,534192
2020-04-30,,,93,61,126,2321,2121,2516,393142,247852,544351
2020-05-01,,,91,58,124,2411,2180,2640,398677,249619,554374
2020-05-02,,,89,55,124,2500,2235,2763,404085,251287,564267
2020-05-03,,,87,53,123,2587,2288,2886,409371,252865,574037
2020-05-04,,,85,50,123,2673,2339,3008,414536,254355,583664
2020-05-05,,,83,47,122,2756,2387,3130,419583,255765,593148
2020-05-06,,,82,45,122,2838,2432,3251,424515,257099,602486
2020-05-07,,,80,43,121,2917,2475,3371,429334,258364,611679
2020-05-08,,,78,40,119,2995,2516,3490,434042,259572,620725
2020-05-09,,,76,38,118,3072,2555,3608,438642,260716,629625
2020-05-10,,,75,36,117,3146,2591,3725,443136,261800,638377
2020-05-11,,,73,34,116,3219,2625,3841,447526,262827,646983
2020-05-12,,,71,32,115,3291,2658,3955,451815,263802,655441
2020-05-13,,,70,30,114,3360,2688,4069,456004,264728,663753
2020-05-14,,,68,28,113,3428,2717,4181,460096,265614,671917
2020-05-15,,,67,27,111,3495,2745,4292,464093,266464,679935
2020-05-16,,,65,26,110,3560,2771,4402,467996,267267,687766
2020-05-17,,,64,24,109,3624,2796,4510,471808,268037,695455
2020-05-18,,,62,23,108,3686,2819,4617,475530,268764,703003
2020-05-19,,,61,22,106,3747,2842,4723,479164,269459,710411
2020-05-20,,,59,21,105,3806,2863,4828,482713,270114,717687
2020-05-21,,,58,19,104,3864,2883,4931,486177,270739,724813
2020-05-22,,,57,18,102,3921,2902,5032,489558,271331,731802
2020-05-23,,,55,17,101,3976,2919,5132,492859,271894,738657
2020-05-24,,,54,16,99,4030,2936,5231,496081,272429,745371
2020-05-25,,,53,15,98,4083,2952,5329,499225,272939,751946
2020-05-26,,,52,15,97,4135,2967,5425,502293,273424,758384
2020-05-27,,,51,14,95,4186,2982,5520,505286,273886,764687
2020-05-28,,,49,13,94,4235,2995,5613,508207,274326,770868
2020-05-29,,,48,12,92,4283,3008,5705,511056,274745,776915
2020-05-30,,,47,12,91,4330,3020,5796,513835,275144,782831
2020-05-31,,,46,11,89,4377,3031,5885,516545,275525,788616
2020-06-01,,,45,10,88,4422,3042,5972,519449,275915,795203
2020-06-02,,,44,10,87,4465,3053,6058,522280,276287,801661
2020-06-03,,,43,9,85,4508,3063,6143,525054,276645,808044
2020-06-04,,,42,9,84,4550,3072,6226,527784,276986,814403
2020-06-05,,,41,8,82,4591,3081,6308,530498,277311,820858
2020-06-06,,,40,8,81,4631,3089,6388,533225,277620,827520
2020-06-07,,,39,8,79,4670,3098,6466,535943,277920,834298
2020-06-08,,,38,7,77,4709,3105,6543,538636,278208,841145
2020-06-09,,,37,7,76,4746,3113,6618,541305,278482,848054
