country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
France,,1053,718,1266
United Kingdom,,885,642,1145
Spain,,608,496,988
Italy,,516,382,640
Belgium,,297,165,381
Germany,,274,227,313
Brazil,,175,152,182
Netherlands,,146,103,180
Sweden,,116,88,138
Iran,,102,80,121
Turkey,,92,69,115
Canada,,68,54,87
Switzerland,,55,39,72
Mexico,,36,32,37
Romania,,31,24,36
India,,30,27,30
Portugal,,30,26,35
Ireland,,30,25,39
Greece,,27,19,30
Bulgaria,,26,19,30
Poland,,23,18,27
Austria,,22,17,29
Indonesia,,21,14,28
Hungary,,18,12,20
Philippines,,18,9,30
Denmark,,16,12,21
Croatia,,12,8,13
Czechia,,11,10,13
Finland,,9,7,10
Slovenia,,7,4,10
Lithuania,,4,3,5
Luxembourg,,4,3,5
Cyprus,,4,3,4
Estonia,,3,2,4
Slovakia,,2,2,2
Latvia,,1,1,1
Malta,,0,0,0
