date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-07-18,,,1,0,5,1494,450,3521
2020-07-19,,,1,0,5,1494,450,3526
2020-07-20,,,1,0,4,1495,450,3530
2020-07-21,,,1,0,4,1495,450,3534
2020-07-22,,,1,0,4,1496,450,3538
2020-07-23,,,1,0,4,1497,450,3542
2020-07-24,,,0,0,4,1497,450,3546
2020-07-25,,,0,0,4,1497,450,3550
2020-07-26,,,0,0,4,1498,450,3554
2020-07-27,,,0,0,3,1498,450,3556
2020-07-28,,,0,0,3,1499,450,3560
2020-07-29,,,0,0,3,1499,450,3562
2020-07-30,,,0,0,3,1499,450,3566
2020-07-31,,,0,0,3,1500,450,3568
2020-08-01,,,0,0,3,1500,450,3572
2020-08-02,,,0,0,3,1500,450,3574
2020-08-03,,,0,0,3,1501,450,3578
2020-08-04,,,0,0,3,1501,450,3580
