country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
France,,13851,37234,21440,62813,2020-04-07,1417,1.6
United Kingdom,,9892,36312,18992,67312,2020-04-10,981,1.0
Italy,,19468,33829,24646,48829,2020-03-27,919,1.3
Spain,,16606,27262,21844,40145,2020-04-02,961,1.7
Brazil,,1124,12486,5518,27469,2020-04-25,288,4.3
Iran,,4357,11166,7383,15024,2020-04-04,158,1.1
Belgium,,3346,10380,8267,14414,2020-04-10,496,1.2
Germany,,2736,9122,5132,16544,2020-04-08,333,
Netherlands,,2653,6169,3992,10754,2020-04-07,234,1.2
Mexico,,233,4983,1578,12633,2020-04-28,124,3.2
Sweden,,887,4923,2468,9706,2020-04-18,114,6.7
Turkey,,1101,4404,2365,8299,2020-04-10,98,1.0
Canada,,654,3279,1456,6978,2020-04-11,97,0.8
India,,288,2916,1238,6402,2020-04-25,71,1.7
Switzerland,,1036,2383,1482,4352,2020-04-04,75,1.8
Portugal,,470,2124,1132,3482,2020-04-03,37,0.9
Romania,,291,2030,882,4754,2020-04-19,42,2.0
Ireland,,320,1730,772,3828,2020-04-19,40,1.2
Greece,,93,1550,418,4905,2020-04-22,39,39.0
Bulgaria,,28,1385,353,4840,2020-04-22,36,12.0
Poland,,208,1247,505,3093,2020-04-18,30,1.1
Hungary,,85,1143,326,3027,2020-04-23,29,3.6
Indonesia,,327,1068,550,1950,2020-04-09,40,1.0
Austria,,337,1001,586,1833,2020-04-08,30,1.2
Philippines,,247,937,491,4824,2020-04-04,41,1.6
Czechia,,129,919,479,1590,2020-04-09,13,1.1
Croatia,,21,790,200,2271,2020-04-23,20,
Denmark,,260,711,424,1363,2020-04-04,22,1.2
Finland,,49,685,209,1919,2020-04-23,16,16.0
Lithuania,,23,318,82,896,2020-04-23,8,8.0
Slovenia,,50,269,97,750,2020-04-14,7,1.4
Cyprus,,10,254,64,663,2020-04-23,7,
Luxembourg,,62,234,106,536,2020-04-11,8,0.6
Slovakia,,2,218,96,578,2020-04-25,4,
Estonia,,24,215,67,559,2020-04-02,6,
Latvia,,3,126,29,442,2020-04-29,3,
Malta,,3,93,56,181,2020-05-20,1,1.0
