country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
France,,987,630,1224
United Kingdom,,923,640,1185
Spain,,537,422,873
Italy,,511,388,633
Belgium,,378,226,462
Germany,,233,186,266
Brazil,,148,137,154
Netherlands,,130,98,160
Iran,,115,93,137
Sweden,,98,81,115
Turkey,,94,69,118
Canada,,75,59,98
Switzerland,,51,35,66
Mexico,,38,34,47
India,,36,34,37
Romania,,35,24,43
Ireland,,33,25,38
Philippines,,33,19,100
Portugal,,30,25,35
Greece,,29,19,37
Bulgaria,,28,19,37
Poland,,26,18,32
Austria,,22,17,27
Indonesia,,21,15,27
Hungary,,20,13,25
Denmark,,14,11,19
Croatia,,13,9,16
Czechia,,11,9,13
Finland,,11,7,13
Slovenia,,7,3,11
Luxembourg,,5,4,6
Cyprus,,5,3,6
Lithuania,,5,3,6
Estonia,,3,2,4
Slovakia,,3,2,3
Latvia,,1,0,1
Malta,,0,0,0
