country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
United Kingdom,,557,356,779
Brazil,,424,302,548
France,,393,198,726
Italy,,332,210,476
Spain,,274,169,432
Germany,,162,104,225
Belgium,,146,90,230
Canada,,137,94,181
Mexico,,120,85,155
Sweden,,104,71,138
Turkey,,90,58,132
Netherlands,,89,52,133
Russia,,83,60,106
Iran,,75,45,112
India,,72,51,81
Ireland,,45,28,63
Switzerland,,25,14,40
Romania,,24,18,31
Portugal,,24,17,32
Poland,,22,14,30
Indonesia,,20,11,29
Philippines,,13,6,22
Hungary,,10,6,15
Austria,,10,5,15
Finland,,8,5,11
Denmark,,7,4,11
Czechia,,4,3,6
Norway,,3,2,6
Croatia,,2,1,4
Bulgaria,,2,1,3
Greece,,2,1,3
Slovenia,,2,0,3
Estonia,,1,1,2
Lithuania,,1,0,2
Luxembourg,,1,0,2
Slovakia,,1,0,2
Latvia,,1,0,1
Cyprus,,0,0,1
Malta,,0,0,1
